country,subindex_score,rank,area,id
Australia,0.6583984304999724,9th,Final Economy Score,0.5
Australia,0.42754457208625596,11th,All,1.0
Australia,0.8863636363636364,7th,All,2.0
Australia,0.9449585971748661,20th,All,3.0
Australia,0.9144736842105263,3rd,All,4.0
Australia,0.4528256792759082,10th,All,5.0
Australia,0.28664921465968585,23rd,All,6.0
Australia,0.7510497021180519,4th,Happiness and Freedom Score,6.5
Australia,0.9,2nd,Happiness and Freedom,7.0
Australia,0.8058252427184467,12th,Happiness and Freedom,8.0
Australia,0.8364570737605803,10th,Happiness and Freedom,9.0
Australia,0.9057142857142857,4th,Happiness and Freedom,10.0
Australia,0.0,39th,Happiness and Freedom,11.0
Australia,0.6145038167938932,26th,Happiness and Freedom,12.0
Australia,0.711648271093262,7th,Education & Healthcare Score,12.5
Australia,0.8,11th,Education & Healthcare,13.0
Australia,0.4636823506235303,10th,Education & Healthcare,14.0
Australia,0.892857137973761,23rd,Education & Healthcare,15.0
Australia,0.7114171362553162,17th,Education & Healthcare,16.0
Australia,0.6985060997580782,13th,Education & Healthcare,17.0
Australia,0.7619258930552473,5th,Education & Healthcare,18.0
Australia,0.72,13th,Education & Healthcare,19.0
Australia,0.7532051282051281,11th,Education & Healthcare,20.0
Australia,0.6168461051298291,11th,Education & Healthcare,21.0
Australia,0.23298429319371725,13th,Education & Healthcare,22.0
Australia,0.5184253194445728,36th,"Climate, Safety and Security Score",22.5
Australia,0.8798235942668137,3rd,"Climate, Safety and Security",23.0
Australia,0.012816389843545162,40th,"Climate, Safety and Security",24.0
Australia,0.49641886885650777,38th,"Climate, Safety and Security",25.0
Australia,0.9722860946291619,15th,"Climate, Safety and Security",26.0
Australia,0.8055555555555556,14th,"Climate, Safety and Security",27.0
Australia,0.039412469108421444,31st,"Climate, Safety and Security",28.0
Australia,0.8602928837846349,19th,Poverty and Equality Score,28.5
Australia,0.8635778635778636,-,Poverty and Equality,29.0
Australia,0.9960193990083153,17th,Poverty and Equality,30.0
Australia,0.7991718426501035,29th,Poverty and Equality,31.0
Australia,1.0,1st,Poverty and Equality,32.0
Australia,0.7452264616852219,19th,Poverty and Equality,33.0
Australia,0.7142388451443569,19th,Poverty and Equality,34.0
Australia,0.9122807017543859,17th,Poverty and Equality,35.0
Australia,0.5431455374145057,20th,Poverty and Equality,36.0
Australia,0.4799531191408545,37th,Final Cost of living Score,36.5
Australia,0.8604651162790697,6th,All,37.0
Australia,0.6296296296296297,9th,All,38.0
Australia,0.24778761061946908,38th,All,39.0
Australia,0.2545260915867945,26th,All,40.0
Australia,0.45979614949037384,38th,All,41.0
Australia,0.455310199789695,29th,All,42.0
Australia,0.44384526838988214,16th,Final Growth and Development Score,42.5
Australia,0.8003970055180815,9th,All,43.0
Australia,0.010140646734557194,33rd,All,44.0
Australia,0.230536689259971,6th,All,45.0
Australia,0.505706425502184,18th,All,46.0
Australia,0.278357689631176,27th,All,47.0
Australia,0.7240218798509558,26th,All,48.0
Australia,0.6401619104024421,13th,Final Score,
Australia,0.7378154708765836,9th,Final Quality of Life Score,
