country,subindex_score,rank,area,id
Austria,0.577228736842578,20th,Final Economy Score,0.5
Austria,0.4747442941214793,7th,All,1.0
Austria,0.6818181818181818,24th,All,2.0
Austria,0.9176814417924988,29th,All,3.0
Austria,0.6984649122807017,15th,All,4.0
Austria,0.3226331462890003,17th,All,5.0
Austria,0.23756544502617796,28th,All,6.0
Austria,0.6072325280176226,19th,Happiness and Freedom Score,6.5
Austria,0.2,30th,Happiness and Freedom,7.0
Austria,0.7766990291262137,15th,Happiness and Freedom,8.0
Austria,0.8418984280532045,9th,Happiness and Freedom,9.0
Austria,0.7685714285714286,21st,Happiness and Freedom,10.0
Austria,0.363636363636364,23rd,Happiness and Freedom,11.0
Austria,0.5343511450381679,29th,Happiness and Freedom,12.0
Austria,0.6729041366707714,12th,Education & Healthcare Score,12.5
Austria,0.42,28th,Education & Healthcare,13.0
Austria,0.10289582327181897,36th,Education & Healthcare,14.0
Austria,0.8908948258570762,24th,Education & Healthcare,15.0
Austria,0.574392764340245,26th,Education & Healthcare,16.0
Austria,0.587143487629519,25th,Education & Healthcare,17.0
Austria,0.8358109607277567,3rd,Education & Healthcare,18.0
Austria,0.84,9th,Education & Healthcare,19.0
Austria,0.8141025641025642,6th,Education & Healthcare,20.0
Austria,0.8216346492153966,3rd,Education & Healthcare,21.0
Austria,0.5130890052356021,3rd,Education & Healthcare,22.0
Austria,0.7645837353459228,18th,"Climate, Safety and Security Score",22.5
Austria,0.6681367144432194,25th,"Climate, Safety and Security",23.0
Austria,0.5891833348471964,29th,"Climate, Safety and Security",24.0
Austria,0.9958014324524574,5th,"Climate, Safety and Security",25.0
Austria,0.9788159879252852,12th,"Climate, Safety and Security",26.0
Austria,0.8055555555555556,14th,"Climate, Safety and Security",27.0
Austria,0.04874214055811822,29th,"Climate, Safety and Security",28.0
Austria,0.8660184629688703,17th,Poverty and Equality Score,28.5
Austria,0.7142857142857143,33rd,Poverty and Equality,29.0
Austria,0.9999995649109191,7th,Poverty and Equality,30.0
Austria,0.9772256728778468,2nd,Poverty and Equality,31.0
Austria,1.0,1st,Poverty and Equality,32.0
Austria,0.8246168753994478,9th,Poverty and Equality,33.0
Austria,0.6394356955380577,23rd,Poverty and Equality,34.0
Austria,0.9122807017543859,17th,Poverty and Equality,35.0
Austria,0.7789396153751431,10th,Poverty and Equality,36.0
Austria,0.47494449036164343,38th,Final Cost of living Score,36.5
Austria,0.7302325581395348,19th,All,37.0
Austria,0.5555555555555556,14th,All,38.0
Austria,0.5995575221238938,28th,All,39.0
Austria,0.04153354632587869,38th,All,40.0
Austria,0.6330690826727068,29th,All,41.0
Austria,0.48370136698212407,27th,All,42.0
Austria,0.4613156876602159,13th,Final Growth and Development Score,42.5
Austria,0.711573584854085,15th,All,43.0
Austria,0.12402328656557504,11th,All,44.0
Austria,0.06123432979749277,21st,All,45.0
Austria,0.5106963587682316,16th,All,46.0
Austria,0.43841336116910223,12th,All,47.0
Austria,0.7816321380048252,18th,All,48.0
Austria,0.605711860809768,18th,Final Score,
Austria,0.6944263183366468,13th,Final Quality of Life Score,
