country,subindex_score,rank,area,indicator,id
Belgium,0.5863856296775378,18th,Final Economy Score,,0.5
Belgium,0.4488913982931225,10th,All,GDP per Capita PPP,1.0
Belgium,0.7045454545454546,23rd,All,Unemployment Rate,2.0
Belgium,0.9585971748660497,14th,All,Inflation Rate,3.0
Belgium,0.7346491228070176,13th,All,Local purchasing power index (points),4.0
Belgium,0.3326196520546628,-,All,Average monthly wage,5.0
Belgium,0.23560209424083767,30th,All,Business Confidence,6.0
Belgium,0.6667171824859734,13th,Happiness and Freedom Score,,6.5
Belgium,0.6,8th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Belgium,0.8284789644012946,11th,Happiness and Freedom,Personal freedom score,8.0
Belgium,0.7442563482466746,16th,Happiness and Freedom,Happiness index,9.0
Belgium,0.7142857142857144,29th,Happiness and Freedom,Economic freedom score,10.0
Belgium,0.5000000000000002,12th,Happiness and Freedom,Depression rate,11.0
Belgium,0.39312977099236646,37th,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Belgium,0.6802320455056116,11th,Education & Healthcare Score,,12.5
Belgium,0.82,10th,Education & Healthcare,International Education Database,13.0
Belgium,0.25268079485516187,22nd,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Belgium,0.9132653097643609,18th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Belgium,0.6744914782387575,21st,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Belgium,0.8062471670226188,8th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Belgium,0.687375194142445,8th,Education & Healthcare,CEO health care index,18.0
Belgium,0.62,18th,Education & Healthcare,Legatum health care ranking,19.0
Belgium,0.7500000000000001,12th,Education & Healthcare,Numbeo health index,20.0
Belgium,0.4444972204630216,27th,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Belgium,0.37870855148342053,8th,Education & Healthcare,Hospital Beds,22.0
Belgium,0.7226516392095867,26th,"Climate, Safety and Security Score",,22.5
Belgium,0.7647923557515619,22nd,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Belgium,0.5311385093879313,34th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Belgium,0.9212151148431712,17th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Belgium,0.9184486340839562,29th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Belgium,0.7430555555555556,20th,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Belgium,0.055848849315460865,25th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Belgium,0.974433676725993,1st,Poverty and Equality Score,,28.5
Belgium,1.0,1st,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Belgium,0.9999990968605442,15th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Belgium,0.9461697722567288,8th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Belgium,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Belgium,0.8316509299608139,8th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Belgium,1.0,1st,Poverty and Equality,Gender wage gap (%),34.0
Belgium,1.0,1st,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Belgium,0.8185159972072261,9th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Belgium,0.6151608818899931,10th,Final Cost of living Score,,36.5
Belgium,0.9069767441860466,2nd,All,Price to Income Ratio (%),37.0
Belgium,0.925925925925926,2nd,All,Mortgage affordability index,38.0
Belgium,0.6150442477876107,25th,All,Rent cost index (points),39.0
Belgium,0.1480298189563366,35th,All,Personal Income Tax Rate,40.0
Belgium,0.6727066817667045,25th,All,Groceries cost index (points),41.0
Belgium,0.42586750788643524,33rd,All,Restaurant cost index (points),42.0
Belgium,0.36912851739835056,29th,Final Growth and Development Score,,42.5
Belgium,0.5764647446295635,26th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Belgium,0.016632034483350794,28th,All,"International tourism, number of arrivals",44.0
Belgium,0.11680761466044137,12th,All,Net migration,45.0
Belgium,0.4113959211431055,21st,All,Exports of goods and services (annual % growth),46.0
Belgium,0.30619345859429364,25th,All,Full Year GDP Growth,47.0
Belgium,0.7880364181359791,17th,All,Population growth (annual %),48.0
Belgium,0.6475638109355254,10th,Final Score,,
Belgium,0.7379083859122302,8th,Final Quality of Life Score,,
