country,subindex_score,rank,area,id
Bulgaria,0.4178918881931459,30th,Final Economy Score,0.5
Bulgaria,0.15201198723099307,34th,All,1.0
Bulgaria,0.7424242424242424,16th,All,2.0
Bulgaria,0.8767657087189479,35th,All,3.0
Bulgaria,0.2598684210526316,31st,All,4.0
Bulgaria,0.08413036115147365,33rd,All,5.0
Bulgaria,0.44895287958115176,15th,All,6.0
Bulgaria,0.5180275396228688,30th,Happiness and Freedom Score,6.5
Bulgaria,0.6,8th,Happiness and Freedom,7.0
Bulgaria,0.4983818770226539,34th,Happiness and Freedom,8.0
Bulgaria,0.1662636033857315,40th,Happiness and Freedom,9.0
Bulgaria,0.805714285714286,15th,Happiness and Freedom,10.0
Bulgaria,0.31818181818181823,29th,Happiness and Freedom,11.0
Bulgaria,0.7213740458015268,15th,Happiness and Freedom,12.0
Bulgaria,0.2495759365505087,37th,Education & Healthcare Score,12.5
Bulgaria,0.06,40th,Education & Healthcare,13.0
Bulgaria,0.14587760208607456,33rd,Education & Healthcare,14.0
Bulgaria,0.9760596541701683,4th,Education & Healthcare,15.0
Bulgaria,0.5903773861934698,25th,Education & Healthcare,16.0
Bulgaria,0.5074694145187968,28th,Education & Healthcare,17.0
Bulgaria,0.044153538939427604,39th,Education & Healthcare,18.0
Bulgaria,0.24,34th,Education & Healthcare,19.0
Bulgaria,0.15705128205128221,37th,Education & Healthcare,20.0
Bulgaria,0.5999577791851383,14th,Education & Healthcare,21.0
Bulgaria,0.25526468877254216,-,Education & Healthcare,22.0
Bulgaria,0.7829407645449101,10th,"Climate, Safety and Security Score",22.5
Bulgaria,0.852627710400588,9th,"Climate, Safety and Security",23.0
Bulgaria,0.7110606397810266,23rd,"Climate, Safety and Security",24.0
Bulgaria,0.9708570017288219,10th,"Climate, Safety and Security",25.0
Bulgaria,0.9665942520688382,21st,"Climate, Safety and Security",26.0
Bulgaria,0.5069444444444444,28th,"Climate, Safety and Security",27.0
Bulgaria,0.20195470171787333,11th,"Climate, Safety and Security",28.0
Bulgaria,0.798986882130863,28th,Poverty and Equality Score,28.5
Bulgaria,0.9523809523809523,11th,Poverty and Equality,29.0
Bulgaria,0.8696596574602472,33rd,Poverty and Equality,30.0
Bulgaria,0.7246376811594202,33rd,Poverty and Equality,31.0
Bulgaria,0.9089621008769897,38th,Poverty and Equality,32.0
Bulgaria,0.35687166947792276,36th,Poverty and Equality,33.0
Bulgaria,0.9543963254593175,2nd,Poverty and Equality,34.0
Bulgaria,0.7368421052631579,28th,Poverty and Equality,35.0
Bulgaria,0.3563648740312791,32nd,Poverty and Equality,36.0
Bulgaria,0.8225766940716582,1st,Final Cost of living Score,36.5
Bulgaria,0.7813953488372094,12th,All,37.0
Bulgaria,0.5555555555555556,14th,All,38.0
Bulgaria,0.8893805309734514,6th,All,39.0
Bulgaria,1.0,1st,All,40.0
Bulgaria,0.8856172140430351,9th,All,41.0
Bulgaria,0.7749737118822293,9th,All,42.0
Bulgaria,0.3201130325193583,34th,Final Growth and Development Score,42.5
Bulgaria,0.46802411526180154,32nd,All,43.0
Bulgaria,0.03714516322920781,22nd,All,44.0
Bulgaria,0.010885023899877205,35th,All,45.0
Bulgaria,0.5100577062732059,17th,All,46.0
Bulgaria,0.32707028531663185,22nd,All,47.0
Bulgaria,0.5476843521434163,39th,All,48.0
Bulgaria,0.533758324489623,30th,Final Score,
Bulgaria,0.5201752496949639,34th,Final Quality of Life Score,
