country,subindex_score,rank,area,id
Canada,0.6675038520691466,8th,Final Economy Score,0.5
Canada,0.40712067580186323,13th,All,1.0
Canada,0.7727272727272727,15th,All,2.0
Canada,0.9712615684364345,6th,All,3.0
Canada,0.8179824561403508,7th,All,4.0
Canada,0.5659789476153679,7th,All,5.0
Canada,0.6583769633507852,10th,All,6.0
Canada,0.7646195217622385,3rd,Happiness and Freedom Score,6.5
Canada,0.7,5th,Happiness and Freedom,7.0
Canada,0.8381877022653721,10th,Happiness and Freedom,8.0
Canada,0.8515719467956467,8th,Happiness and Freedom,9.0
Canada,0.8400000000000001,10th,Happiness and Freedom,10.0
Canada,0.5454545454545454,7th,Happiness and Freedom,11.0
Canada,0.6412213740458015,21st,Happiness and Freedom,12.0
Canada,0.5770308789119933,19th,Education & Healthcare Score,12.5
Canada,0.7,15th,Education & Healthcare,13.0
Canada,0.17518335467905888,30th,Education & Healthcare,14.0
Canada,0.8210361052723347,33rd,Education & Healthcare,15.0
Canada,0.657694306223578,22nd,Education & Healthcare,16.0
Canada,0.5563603564664374,27th,Education & Healthcare,17.0
Canada,0.33259374306634126,19th,Education & Healthcare,18.0
Canada,0.76,12th,Education & Healthcare,19.0
Canada,0.5961538461538464,21st,Education & Healthcare,20.0
Canada,0.32012173668285127,33rd,Education & Healthcare,21.0
Canada,0.12041884816753926,24th,Education & Healthcare,22.0
Canada,0.5184459154602876,35th,"Climate, Safety and Security Score",22.5
Canada,0.8787210584343991,5th,"Climate, Safety and Security",23.0
Canada,0.0,41st,"Climate, Safety and Security",24.0
Canada,0.554951839960484,37th,"Climate, Safety and Security",25.0
Canada,0.9226480377494608,28th,"Climate, Safety and Security",26.0
Canada,0.7777777777777778,18th,"Climate, Safety and Security",27.0
Canada,0.017808723010326037,39th,"Climate, Safety and Security",28.0
Canada,0.8781304559014824,16th,Poverty and Equality Score,28.5
Canada,0.9523809523809523,11th,Poverty and Equality,29.0
Canada,0.8973990544847142,31st,Poverty and Equality,30.0
Canada,0.9109730848861284,16th,Poverty and Equality,31.0
Canada,1.0,1st,Poverty and Equality,32.0
Canada,0.8184060670047243,10th,Poverty and Equality,33.0
Canada,0.4914698162729658,31st,Poverty and Equality,34.0
Canada,1.0,1st,Poverty and Equality,35.0
Canada,0.5266231908426539,22nd,Poverty and Equality,36.0
Canada,0.5260115559122396,25th,Final Cost of living Score,36.5
Canada,0.772093023255814,13th,All,37.0
Canada,0.4444444444444445,21st,All,38.0
Canada,0.37168141592920356,36th,All,39.0
Canada,0.5101171458998935,13th,All,40.0
Canada,0.5628539071347678,33rd,All,41.0
Canada,0.49106203995793896,26th,All,42.0
Canada,0.4996580636728235,9th,Final Growth and Development Score,42.5
Canada,0.7437620355110968,13th,All,43.0
Canada,0.27290446669299856,7th,All,44.0
Canada,0.36452169026591646,5th,All,45.0
Canada,0.3425600158548594,28th,All,46.0
Canada,0.3549060542797494,20th,All,47.0
Canada,0.8025917821286727,13th,All,48.0
Canada,0.6343506810185562,14th,Final Score,
Canada,0.7064277551048187,12th,Final Quality of Life Score,
