country,subindex_score,rank,area,id
Chile,0.36977625890807936,33rd,Final Economy Score,0.5
Chile,0.16342374427240547,33rd,All,1.0
Chile,0.48484848484848475,34th,All,2.0
Chile,0.9167072576716999,30th,All,3.0
Chile,0.10745614035087715,35th,All,4.0
Chile,0.1439576664960932,28th,All,5.0
Chile,0.5575916230366491,14th,All,6.0
Chile,0.5620097939852625,24th,Happiness and Freedom Score,6.5
Chile,0.2,30th,Happiness and Freedom,7.0
Chile,0.6634304207119742,26th,Happiness and Freedom,8.0
Chile,0.5994558645707375,20th,Happiness and Freedom,9.0
Chile,0.7685714285714286,21st,Happiness and Freedom,10.0
Chile,0.40909090909090917,18th,Happiness and Freedom,11.0
Chile,0.7480916030534351,13th,Happiness and Freedom,12.0
Chile,0.4024987952921144,29th,Education & Healthcare Score,12.5
Chile,0.36,31st,Education & Healthcare,13.0
Chile,0.9067548920751946,3rd,Education & Healthcare,14.0
Chile,0.7437205723255103,38th,Education & Healthcare,15.0
Chile,0.5120482161001999,31st,Education & Healthcare,16.0
Chile,0.4056133684550275,30th,Education & Healthcare,17.0
Chile,0.18460173064122476,29th,Education & Healthcare,18.0
Chile,0.4,27th,Education & Healthcare,19.0
Chile,0.4038461538461541,28th,Education & Healthcare,20.0
Chile,0.3891879529941594,29th,Education & Healthcare,21.0
Chile,0.06806282722513089,28th,Education & Healthcare,22.0
Chile,0.6059879666868742,33rd,"Climate, Safety and Security Score",22.5
Chile,0.5167217934582874,33rd,"Climate, Safety and Security",23.0
Chile,0.7698500766452516,17th,"Climate, Safety and Security",24.0
Chile,0.682143739194863,32nd,"Climate, Safety and Security",25.0
Chile,0.7931221824298569,34th,"Climate, Safety and Security",26.0
Chile,0.11111111111111105,39th,"Climate, Safety and Security",27.0
Chile,0.25967102656453644,7th,"Climate, Safety and Security",28.0
Chile,0.7462172413662685,32nd,Poverty and Equality Score,28.5
Chile,0.8095238095238095,26th,Poverty and Equality,29.0
Chile,0.9999993961490931,11th,Poverty and Equality,30.0
Chile,0.6853002070393375,35th,Poverty and Equality,31.0
Chile,1.0,1st,Poverty and Equality,32.0
Chile,0.7099918369017579,23rd,Poverty and Equality,33.0
Chile,0.756233595800525,15th,Poverty and Equality,34.0
Chile,0.43859649122807015,36th,Poverty and Equality,35.0
Chile,0.6535057862497524,17th,Poverty and Equality,36.0
Chile,0.5207673509211502,27th,Final Cost of living Score,36.5
Chile,0.48372093023255813,36th,All,37.0
Chile,0.2592592592592593,31st,All,38.0
Chile,0.8141592920353983,11th,All,39.0
Chile,0.3610223642172524,21st,All,40.0
Chile,0.8380520951302379,13th,All,41.0
Chile,0.7055730809674028,17th,All,42.0
Chile,0.32800976376808255,33rd,Final Growth and Development Score,42.5
Chile,0.48982668864020396,31st,All,43.0
Chile,0.04107777644210129,20th,All,44.0
Chile,0.22321756866445128,7th,All,45.0
Chile,0.10413362211447,39th,All,46.0
Chile,0.25748086290883787,32nd,All,47.0
Chile,0.8861491022794143,4th,All,48.0
Chile,0.48115496255447676,33rd,Final Score,
Chile,0.5553958011236805,30th,Final Quality of Life Score,
