country,subindex_score,rank,area,id
Costa Rica,0.317111452975083,38th,Final Economy Score,0.5
Costa Rica,0.11727724814871116,37th,All,1.0
Costa Rica,0.26515151515151514,38th,All,2.0
Costa Rica,0.9700925474914759,8th,All,3.0
Costa Rica,0.15350877192982457,33rd,All,4.0
Costa Rica,0.12781970431648665,29th,All,5.0
Costa Rica,0.4757580715532285,-,All,6.0
Costa Rica,0.7352188201254721,7th,Happiness and Freedom Score,6.5
Costa Rica,0.8,4th,Happiness and Freedom,7.0
Costa Rica,0.6084142394822009,29th,Happiness and Freedom,8.0
Costa Rica,0.8180169286577992,11th,Happiness and Freedom,9.0
Costa Rica,0.7857142857142859,19th,Happiness and Freedom,10.0
Costa Rica,0.5454545454545454,7th,Happiness and Freedom,11.0
Costa Rica,0.7824427480916031,11th,Happiness and Freedom,12.0
Costa Rica,0.37819832532147946,31st,Education & Healthcare Score,12.5
Costa Rica,0.34,32nd,Education & Healthcare,13.0
Costa Rica,0.9266795671716711,2nd,Education & Healthcare,14.0
Costa Rica,0.7590266894337665,36th,Education & Healthcare,15.0
Costa Rica,0.5572606557693954,30th,Education & Healthcare,16.0
Costa Rica,0.28248075733823585,34th,Education & Healthcare,17.0
Costa Rica,0.1193698690925228,32nd,Education & Healthcare,18.0
Costa Rica,0.38,28th,Education & Healthcare,19.0
Costa Rica,0.3621794871794873,30th,Education & Healthcare,20.0
Costa Rica,0.4710611498135247,24th,Education & Healthcare,21.0
Costa Rica,0.0,30th,Education & Healthcare,22.0
Costa Rica,0.5181282772877707,37th,"Climate, Safety and Security Score",22.5
Costa Rica,0.0007350238882763982,40th,"Climate, Safety and Security",23.0
Costa Rica,1.0,1st,"Climate, Safety and Security",24.0
Costa Rica,0.6732526549765375,33rd,"Climate, Safety and Security",25.0
Costa Rica,0.5072928075600716,39th,"Climate, Safety and Security",26.0
Costa Rica,0.11805555555555547,37th,"Climate, Safety and Security",27.0
Costa Rica,0.028148613384119524,36th,"Climate, Safety and Security",28.0
Costa Rica,0.7956406521561575,29th,Poverty and Equality Score,28.5
Costa Rica,0.8095238095238095,26th,Poverty and Equality,29.0
Costa Rica,0.9750197731176826,26th,Poverty and Equality,30.0
Costa Rica,0.7163561076604554,34th,Poverty and Equality,31.0
Costa Rica,0.9696548064284161,37th,Poverty and Equality,32.0
Costa Rica,0.5595404246305358,30th,Poverty and Equality,33.0
Costa Rica,0.8677821522309711,6th,Poverty and Equality,34.0
Costa Rica,0.6140350877192983,32nd,Poverty and Equality,35.0
Costa Rica,0.9100354698669952,4th,Poverty and Equality,36.0
Costa Rica,0.650978723809187,6th,Final Cost of living Score,36.5
Costa Rica,0.7674418604651163,14th,All,37.0
Costa Rica,0.29629629629629634,30th,All,38.0
Costa Rica,0.7809734513274336,12th,All,39.0
Costa Rica,0.6805111821086263,7th,All,40.0
Costa Rica,0.7610419026047566,20th,All,41.0
Costa Rica,0.7160883280757098,15th,All,42.0
Costa Rica,0.3753969259006712,26th,Final Growth and Development Score,42.5
Costa Rica,0.36962695580427235,34th,All,43.0
Costa Rica,0.004288952619738627,37th,All,44.0
Costa Rica,0.02961642258035423,32nd,All,45.0
Costa Rica,0.5279156691612448,14th,All,46.0
Costa Rica,0.6332637439109254,3rd,All,47.0
Costa Rica,0.8124509067909678,12th,All,48.0
Costa Rica,0.5302510062419462,31st,Final Score,
Costa Rica,0.6184879838066413,24th,Final Quality of Life Score,
