country,subindex_score,rank,area,indicator,id
Croatia,0.4306913865133265,27th,Final Economy Score,,0.5
Croatia,0.23060218462941648,29th,All,GDP per Capita PPP,1.0
Croatia,0.6590909090909091,26th,All,Unemployment Rate,2.0
Croatia,0.927423283000487,27th,All,Inflation Rate,3.0
Croatia,0.31469298245614036,27th,All,Local purchasing power index (points),4.0
Croatia,0.10063591163218298,32nd,All,Average monthly wage,5.0
Croatia,0.33311518324607325,19th,All,Business Confidence,6.0
Croatia,0.46129442058192455,34th,Happiness and Freedom Score,,6.5
Croatia,0.3,25th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Croatia,0.6440129449838188,28th,Happiness and Freedom,Personal freedom score,8.0
Croatia,0.2935308343409916,37th,Happiness and Freedom,Happiness index,9.0
Croatia,0.6542857142857145,33rd,Happiness and Freedom,Economic freedom score,10.0
Croatia,0.363636363636364,23rd,Happiness and Freedom,Depression rate,11.0
Croatia,0.46564885496183217,35th,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Croatia,0.3630314046464437,33rd,Education & Healthcare Score,,12.5
Croatia,0.26,34th,Education & Healthcare,International Education Database,13.0
Croatia,0.17388084640645118,31st,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Croatia,0.8610675014872378,29th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Croatia,0.7271466153273436,15th,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Croatia,0.5676776949179674,26th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Croatia,0.19214555136454411,28th,Education & Healthcare,CEO health care index,18.0
Croatia,0.3,31st,Education & Healthcare,Legatum health care ranking,19.0
Croatia,0.38782051282051283,29th,Education & Healthcare,Numbeo health index,20.0
Croatia,0.5000175920061923,22nd,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Croatia,0.25526468877254216,-,Education & Healthcare,Hospital Beds,22.0
Croatia,0.7739117810949099,15th,"Climate, Safety and Security Score",,22.5
Croatia,0.6670341786108048,26th,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Croatia,0.8230916440172453,11th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Croatia,0.9039268955297605,20th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Croatia,0.9674352592403376,19th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Croatia,0.5972222222222222,23rd,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Croatia,0.1820269170116244,13th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Croatia,0.823169709535124,25th,Poverty and Equality Score,,28.5
Croatia,0.9047619047619048,18th,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Croatia,0.8253225085613626,35th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Croatia,0.8095238095238095,27th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Croatia,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Croatia,0.5190201404904341,34th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Croatia,0.7896981627296588,12th,Poverty and Equality,Gender wage gap (%),34.0
Croatia,0.8245614035087719,23rd,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Croatia,0.5431455374145057,20th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Croatia,0.625850737330432,9th,Final Cost of living Score,,36.5
Croatia,0.5953488372093023,30th,All,Price to Income Ratio (%),37.0
Croatia,0.3703703703703704,27th,All,Mortgage affordability index,38.0
Croatia,0.8407079646017699,9th,All,Rent cost index (points),39.0
Croatia,0.5740149094781684,10th,All,Personal Income Tax Rate,40.0
Croatia,0.8425821064552662,12th,All,Groceries cost index (points),41.0
Croatia,0.7360672975814931,14th,All,Restaurant cost index (points),42.0
Croatia,0.4635226941068557,11th,Final Growth and Development Score,,42.5
Croatia,0.5272587916328874,27th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Croatia,0.1799814531778606,9th,All,"International tourism, number of arrivals",44.0
Croatia,0.007960844439202737,37th,All,Net migration,45.0
Croatia,0.6855268153749707,4th,All,Exports of goods and services (annual % growth),46.0
Croatia,1.0,1st,All,Full Year GDP Growth,47.0
Croatia,0.0,41st,All,Population growth (annual %),48.0
Croatia,0.5238231059381689,32nd,Final Score,,
Croatia,0.5354523096432188,33rd,Final Quality of Life Score,,
