country,subindex_score,rank,area,id
Czechia,0.5901536315260418,17th,Final Economy Score,0.5
Czechia,0.32946426632500164,21st,All,1.0
Czechia,0.8712121212121212,9th,All,2.0
Czechia,0.8670238675109596,38th,All,3.0
Czechia,0.48574561403508765,21st,All,4.0
Czechia,0.21355458033791144,23rd,All,5.0
Czechia,0.9280104712041884,4th,All,6.0
Czechia,0.6582362325786191,14th,Happiness and Freedom Score,6.5
Czechia,0.5,12th,Happiness and Freedom,7.0
Czechia,0.7734627831715212,16th,Happiness and Freedom,8.0
Czechia,0.7227932285368803,18th,Happiness and Freedom,9.0
Czechia,0.8228571428571431,11th,Happiness and Freedom,10.0
Czechia,0.31818181818181823,29th,Happiness and Freedom,11.0
Czechia,0.6259541984732826,24th,Happiness and Freedom,12.0
Czechia,0.5864460431746484,18th,Education & Healthcare Score,12.5
Czechia,0.44,27th,Education & Healthcare,13.0
Czechia,0.2253288048013369,24th,Education & Healthcare,14.0
Czechia,1.0,1st,Education & Healthcare,15.0
Czechia,0.7110983484207458,18th,Education & Healthcare,16.0
Czechia,0.8429153409799532,6th,Education & Healthcare,17.0
Czechia,0.5393831817173287,12th,Education & Healthcare,18.0
Czechia,0.549,-,Education & Healthcare,19.0
Czechia,0.7596153846153847,10th,Education & Healthcare,20.0
Czechia,0.621085778622194,10th,Education & Healthcare,21.0
Czechia,0.25526468877254216,-,Education & Healthcare,22.0
Czechia,0.7493123837266661,23rd,"Climate, Safety and Security Score",22.5
Czechia,0.8272693862550533,16th,"Climate, Safety and Security",23.0
Czechia,0.4639986514733807,37th,"Climate, Safety and Security",24.0
Czechia,0.9992590763151395,2nd,"Climate, Safety and Security",25.0
Czechia,0.9789369992187169,11th,"Climate, Safety and Security",26.0
Czechia,0.7361111111111112,21st,"Climate, Safety and Security",27.0
Czechia,0.04609480957088261,30th,"Climate, Safety and Security",28.0
Czechia,0.8646856258862418,18th,Poverty and Equality Score,28.5
Czechia,1.0,1st,Poverty and Equality,29.0
Czechia,0.9842561526365481,24th,Poverty and Equality,30.0
Czechia,0.9254658385093167,12th,Poverty and Equality,31.0
Czechia,1.0,1st,Poverty and Equality,32.0
Czechia,0.5574157279696896,31st,Poverty and Equality,33.0
Czechia,0.6604330708661417,21st,Poverty and Equality,34.0
Czechia,0.8245614035087719,23rd,Poverty and Equality,35.0
Czechia,0.38801906055017954,30th,Poverty and Equality,36.0
Czechia,0.5947229910223665,12th,Final Cost of living Score,36.5
Czechia,0.5162790697674419,35th,All,37.0
Czechia,0.2592592592592593,31st,All,38.0
Czechia,0.6880530973451328,19th,All,39.0
Czechia,0.7231096911608094,6th,All,40.0
Czechia,0.8289920724801811,14th,All,41.0
Czechia,0.7665615141955835,10th,All,42.0
Czechia,0.37800809740610486,25th,Final Growth and Development Score,42.5
Czechia,0.6250743621044244,24th,All,43.0
Czechia,0.3138792052343254,5th,All,44.0
Czechia,0.032282178114788784,29th,All,45.0
Czechia,0.35477743921037275,27th,All,46.0
Czechia,0.26443980514961724,31st,All,47.0
Czechia,0.3611602496547287,40th,All,48.0
Czechia,0.614283757842918,16th,Final Score,
Czechia,0.6870966695337571,15th,Final Quality of Life Score,
