country,subindex_score,rank,area,id
Denmark,0.723698040175063,4th,Final Economy Score,0.5
Denmark,0.5164607266172989,5th,All,1.0
Denmark,0.9772727272727273,2nd,All,2.0
Denmark,0.9478811495372625,18th,All,3.0
Denmark,0.8497807017543859,6th,All,4.0
Denmark,0.8415338124053353,2nd,All,5.0
Denmark,0.19502617801047117,34th,All,6.0
Denmark,0.7848890700781306,2nd,Happiness and Freedom Score,6.5
Denmark,0.6,8th,Happiness and Freedom,7.0
Denmark,0.9093851132686086,6th,Happiness and Freedom,8.0
Denmark,0.948911729141475,2nd,Happiness and Freedom,9.0
Denmark,0.9200000000000002,3rd,Happiness and Freedom,10.0
Denmark,0.40909090909090917,18th,Happiness and Freedom,11.0
Denmark,0.6832061068702291,17th,Happiness and Freedom,12.0
Denmark,0.8370258143040123,1st,Education & Healthcare Score,12.5
Denmark,1.0,1st,Education & Healthcare,13.0
Denmark,0.30152373657458437,18th,Education & Healthcare,14.0
Denmark,0.8956043974567426,21st,Education & Healthcare,15.0
Denmark,0.7146521332320328,16th,Education & Healthcare,16.0
Denmark,0.8216387541976413,7th,Education & Healthcare,17.0
Denmark,0.8977146660749945,2nd,Education & Healthcare,18.0
Denmark,1.0,1st,Education & Healthcare,19.0
Denmark,0.8782051282051283,4th,Education & Healthcare,20.0
Denmark,0.5810463725283231,16th,Education & Healthcare,21.0
Denmark,0.11780104712041885,25th,Education & Healthcare,22.0
Denmark,0.8188616150621962,4th,"Climate, Safety and Security Score",22.5
Denmark,0.8177140757074605,18th,"Climate, Safety and Security",23.0
Denmark,0.7474739891981778,19th,"Climate, Safety and Security",24.0
Denmark,0.9985181526302791,3rd,"Climate, Safety and Security",25.0
Denmark,0.9685526376084905,18th,"Climate, Safety and Security",26.0
Denmark,0.8888888888888888,7th,"Climate, Safety and Security",27.0
Denmark,0.05440547452143897,28th,"Climate, Safety and Security",28.0
Denmark,0.9554821414514982,2nd,Poverty and Equality Score,28.5
Denmark,0.9523809523809523,11th,Poverty and Equality,29.0
Denmark,0.9999997099406134,6th,Poverty and Equality,30.0
Denmark,0.9316770186335404,11th,Poverty and Equality,31.0
Denmark,1.0,1st,Poverty and Equality,32.0
Denmark,0.9963639764472493,2nd,Poverty and Equality,33.0
Denmark,0.8746719160104987,5th,Poverty and Equality,34.0
Denmark,1.0,1st,Poverty and Equality,35.0
Denmark,0.759381025315448,13th,Poverty and Equality,36.0
Denmark,0.5258968071482781,26th,Final Cost of living Score,36.5
Denmark,0.9023255813953488,3rd,All,37.0
Denmark,0.925925925925926,2nd,All,38.0
Denmark,0.43805309734513276,32nd,All,39.0
Denmark,0.020234291799787085,40th,All,40.0
Denmark,0.5832389580973953,31st,All,41.0
Denmark,0.18506834910620396,40th,All,42.0
Denmark,0.514167633809192,6th,Final Growth and Development Score,42.5
Denmark,0.9469092339929951,2nd,All,43.0
Denmark,0.1283508783981041,10th,All,44.0
Denmark,0.06545236327813352,18th,All,45.0
Denmark,0.5434440849739833,12th,All,46.0
Denmark,0.32707028531663185,22nd,All,47.0
Denmark,0.7812098604313461,19th,All,48.0
Denmark,0.71965822555923,1st,Final Score,
Denmark,0.8380459621189753,1st,Final Quality of Life Score,
