country,subindex_score,rank,area,id
Estonia,0.5331964377934911,22nd,Final Economy Score,0.5
Estonia,0.30749853417012313,24th,All,1.0
Estonia,0.7424242424242424,16th,All,2.0
Estonia,0.8816366293229421,34th,All,3.0
Estonia,0.37171052631578944,25th,All,4.0
Estonia,0.20559432151586554,24th,All,5.0
Estonia,0.8390052356020941,8th,All,6.0
Estonia,0.6038648328347842,20th,Happiness and Freedom Score,6.5
Estonia,0.5,12th,Happiness and Freedom,7.0
Estonia,0.9449838187702265,5th,Happiness and Freedom,8.0
Estonia,0.4328899637243046,32nd,Happiness and Freedom,9.0
Estonia,0.8800000000000002,6th,Happiness and Freedom,10.0
Estonia,0.0,39th,Happiness and Freedom,11.0
Estonia,0.5229007633587787,31st,Happiness and Freedom,12.0
Estonia,0.5933355066517654,17th,Education & Healthcare Score,12.5
Estonia,0.56,21st,Education & Healthcare,13.0
Estonia,0.45847244139879983,11th,Education & Healthcare,14.0
Estonia,0.9183673456868933,15th,Education & Healthcare,15.0
Estonia,0.7977306385352216,7th,Education & Healthcare,16.0
Estonia,0.6478044285201224,17th,Education & Healthcare,17.0
Estonia,0.25848679831373417,24th,Education & Healthcare,18.0
Estonia,0.66,16th,Education & Healthcare,19.0
Estonia,0.7147435897435895,14th,Education & Healthcare,20.0
Estonia,0.5013018084582365,21st,Education & Healthcare,21.0
Estonia,0.2870855148342059,10th,Education & Healthcare,22.0
Estonia,0.7656754459027031,17th,"Climate, Safety and Security Score",22.5
Estonia,0.8460124954061007,11th,"Climate, Safety and Security",23.0
Estonia,0.5618086271281642,31st,"Climate, Safety and Security",24.0
Estonia,0.979007162262287,8th,"Climate, Safety and Security",25.0
Estonia,0.8687052980118607,31st,"Climate, Safety and Security",26.0
Estonia,0.8333333333333334,13th,"Climate, Safety and Security",27.0
Estonia,0.17935929322068545,14th,"Climate, Safety and Security",28.0
Estonia,0.837482271040203,22nd,Poverty and Equality Score,28.5
Estonia,0.9047619047619048,18th,Poverty and Equality,29.0
Estonia,0.9460461167080652,27th,Poverty and Equality,30.0
Estonia,0.8819875776397516,21st,Poverty and Equality,31.0
Estonia,1.0,1st,Poverty and Equality,32.0
Estonia,0.7841544728036912,15th,Poverty and Equality,33.0
Estonia,0.36811023622047245,33rd,Poverty and Equality,34.0
Estonia,0.9298245614035088,10th,Poverty and Equality,35.0
Estonia,0.40682352785431913,29th,Poverty and Equality,36.0
Estonia,0.6842741299302514,3rd,Final Cost of living Score,36.5
Estonia,0.6604651162790698,24th,All,37.0
Estonia,0.48148148148148145,20th,All,38.0
Estonia,0.7477876106194691,15th,All,39.0
Estonia,0.7870074547390842,4th,All,40.0
Estonia,0.8097395243488109,16th,All,41.0
Estonia,0.5720294426919033,22nd,All,42.0
Estonia,0.37487274744978427,27th,Final Growth and Development Score,42.5
Estonia,0.7788810904092127,10th,All,43.0
Estonia,0.008998643334306469,34th,All,44.0
Estonia,0.0311964507468278,30th,All,45.0
Estonia,0.6429340998489356,6th,All,46.0
Estonia,0.0,40th,All,47.0
Estonia,0.7199563660058281,28th,All,48.0
Estonia,0.6133822300571972,17th,Final Score,
Estonia,0.6636105839277542,18th,Final Quality of Life Score,
