country,subindex_score,rank,area,indicator,id
France,0.6133779036925946,12th,Final Economy Score,,0.5
France,0.3756324784468718,14th,All,GDP per Capita PPP,1.0
France,0.606060606060606,29th,All,Unemployment Rate,2.0
France,0.9556746225036532,16th,All,Inflation Rate,3.0
France,0.643640350877193,16th,All,Local purchasing power index (points),4.0
France,0.4481439503352575,11th,All,Average monthly wage,5.0
France,0.9476439790575917,3rd,All,Business Confidence,6.0
France,0.5311095119277112,27th,Happiness and Freedom Score,,6.5
France,0.2,30th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
France,0.5760517799352753,31st,Happiness and Freedom,Personal freedom score,8.0
France,0.6441958887545343,19th,Happiness and Freedom,Happiness index,9.0
France,0.7028571428571431,31st,Happiness and Freedom,Economic freedom score,10.0
France,0.5000000000000002,12th,Happiness and Freedom,Depression rate,11.0
France,0.5648854961832062,27th,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
France,0.6982939563189272,9th,Education & Healthcare Score,,12.5
France,0.84,9th,Education & Healthcare,International Education Database,13.0
France,0.15384748436796256,32nd,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
France,0.8453689106762099,32nd,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
France,0.612593195993823,24th,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
France,0.6233589792755918,21st,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
France,0.704015975149767,6th,Education & Healthcare,CEO health care index,18.0
France,0.64,17th,Education & Healthcare,Legatum health care ranking,19.0
France,0.8846153846153848,3rd,Education & Healthcare,Numbeo health index,20.0
France,0.4663113081415804,26th,Education & Healthcare,"Physicians (per 1,000 people)",21.0
France,0.3979057591623037,7th,Education & Healthcare,Hospital Beds,22.0
France,0.7794403195061015,11th,"Climate, Safety and Security Score",,22.5
France,0.7574421168687983,24th,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
France,0.7944284068778436,15th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
France,0.8592244998765127,24th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
France,0.9506655152641525,24th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
France,0.7916666666666667,16th,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
France,0.17743306761202018,15th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
France,0.9023605183145084,9th,Poverty and Equality Score,,28.5
France,0.9523809523809523,11th,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
France,0.9999993671431557,13th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
France,0.9233954451345756,13th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
France,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
France,0.6502416581105658,27th,Poverty and Equality,Individuals using the Internet (% of population),33.0
France,0.5308398950131232,29th,Poverty and Equality,Gender wage gap (%),34.0
France,1.0,1st,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
France,0.7555806717963524,14th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
France,0.49036620064544156,35th,Final Cost of living Score,,36.5
France,0.6604651162790698,24th,All,Price to Income Ratio (%),37.0
France,0.5185185185185185,17th,All,Mortgage affordability index,38.0
France,0.5663716814159292,29th,All,Rent cost index (points),39.0
France,0.2545260915867945,26th,All,Personal Income Tax Rate,40.0
France,0.5526613816534542,34th,All,Groceries cost index (points),41.0
France,0.44794952681388,30th,All,Restaurant cost index (points),42.0
France,0.564281019377779,3rd,Final Growth and Development Score,,42.5
France,0.6417670809843778,18th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
France,1.0,1st,All,"International tourism, number of arrivals",44.0
France,0.06175464642750602,19th,All,Net migration,45.0
France,0.36346829899694727,25th,All,Exports of goods and services (annual % growth),46.0
France,0.27139874739039666,29th,All,Full Year GDP Growth,47.0
France,0.7494885106194094,23rd,All,Population growth (annual %),48.0
France,0.6171780484963478,15th,Final Score,,
France,0.6803481272802745,16th,Final Quality of Life Score,,
