country,subindex_score,rank,area,indicator,id
Greece,0.4297277480545497,29th,Final Economy Score,,0.5
Greece,0.20793068253382266,31st,All,GDP per Capita PPP,1.0
Greece,0.3257575757575757,37th,All,Unemployment Rate,2.0
Greece,0.968339016074038,9th,All,Inflation Rate,3.0
Greece,0.15789473684210525,32nd,All,Local purchasing power index (points),4.0
Greece,0.3326196520546628,-,All,Average monthly wage,5.0
Greece,1.0,1st,All,Business Confidence,6.0
Greece,0.36508386706743867,39th,Happiness and Freedom Score,,6.5
Greece,0.0,36th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Greece,0.5275080906148869,33rd,Happiness and Freedom,Personal freedom score,8.0
Greece,0.24969770253929857,38th,Happiness and Freedom,Happiness index,9.0
Greece,0.5542857142857143,38th,Happiness and Freedom,Economic freedom score,10.0
Greece,0.09090909090909094,36th,Happiness and Freedom,Depression rate,11.0
Greece,0.8969465648854962,5th,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Greece,0.3641698504593385,32nd,Education & Healthcare Score,,12.5
Greece,0.46,26th,Education & Healthcare,International Education Database,13.0
Greece,0.00976859453065713,40th,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Greece,0.6240188573443264,40th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Greece,0.29698154377916997,39th,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Greece,0.5966500537395781,23rd,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Greece,0.3212780119813624,20th,Education & Healthcare,CEO health care index,18.0
Greece,0.32,30th,Education & Healthcare,Legatum health care ranking,19.0
Greece,0.18269230769230776,35th,Education & Healthcare,Numbeo health index,20.0
Greece,1.0,1st,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Greece,0.26265270506108196,12th,Education & Healthcare,Hospital Beds,22.0
Greece,0.7924079187395383,9th,"Climate, Safety and Security Score",,22.5
Greece,0.8364571848585078,14th,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Greece,0.7121227830017958,22nd,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Greece,0.8127932822919239,25th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Greece,0.9776163332831558,13th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Greece,0.5694444444444444,26th,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Greece,0.700319478646756,2nd,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Greece,0.8599355070094836,20th,Poverty and Equality Score,,28.5
Greece,0.7619047619047619,29th,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Greece,0.9999998681548244,3rd,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Greece,0.9047619047619048,18th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Greece,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Greece,0.4442214992834911,35th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Greece,0.8444881889763779,8th,Poverty and Equality,Gender wage gap (%),34.0
Greece,1.0,1st,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Greece,0.30360789658418946,35th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Greece,0.5625700230740992,17th,Final Cost of living Score,,36.5
Greece,0.6744186046511628,23rd,All,Price to Income Ratio (%),37.0
Greece,0.4074074074074074,24th,All,Mortgage affordability index,38.0
Greece,0.8252212389380531,10th,All,Rent cost index (points),39.0
Greece,0.2758253461128861,25th,All,Personal Income Tax Rate,40.0
Greece,0.8097395243488109,16th,All,Groceries cost index (points),41.0
Greece,0.6246056782334384,20th,All,Restaurant cost index (points),42.0
Greece,0.33058058989697536,32nd,Final Growth and Development Score,,42.5
Greece,0.3403356599290586,37th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Greece,0.058036097611238,16th,All,"International tourism, number of arrivals",44.0
Greece,0.00032259631060821544,40th,All,Net migration,45.0
Greece,0.5667939192458803,11th,All,Exports of goods and services (annual % growth),46.0
Greece,0.5010438413361169,6th,All,Full Year GDP Growth,47.0
Greece,0.5995225257313792,36th,All,Population growth (annual %),48.0
Greece,0.48060957449305536,34th,Final Score,,
Greece,0.5065123952406276,35th,Final Quality of Life Score,,
