country,subindex_score,rank,area,id
Hungary,0.43991374730795635,25th,Final Economy Score,0.5
Hungary,0.25185128884449176,28th,All,1.0
Hungary,0.8409090909090909,14th,All,2.0
Hungary,0.7676570871894788,40th,All,3.0
Hungary,0.2807017543859649,28th,All,4.0
Hungary,0.15297061786212288,26th,All,5.0
Hungary,0.23625654450261774,29th,All,6.0
Hungary,0.4897313786635866,33rd,Happiness and Freedom Score,6.5
Hungary,0.7,5th,Happiness and Freedom,7.0
Hungary,0.26860841423948234,39th,Happiness and Freedom,8.0
Hungary,0.3920798065296251,34th,Happiness and Freedom,9.0
Hungary,0.6771428571428574,32nd,Happiness and Freedom,10.0
Hungary,0.363636363636364,23rd,Happiness and Freedom,11.0
Hungary,0.4580152671755725,36th,Happiness and Freedom,12.0
Hungary,0.352410247011571,34th,Education & Healthcare Score,12.5
Hungary,0.5,24th,Education & Healthcare,13.0
Hungary,0.12178175826195325,34th,Education & Healthcare,14.0
Hungary,0.9850863424657872,2nd,Education & Healthcare,15.0
Hungary,0.5687989624147877,28th,Education & Healthcare,16.0
Hungary,0.6618379472131481,16th,Education & Healthcare,17.0
Hungary,0.126913689815842,31st,Education & Healthcare,18.0
Hungary,0.28,32nd,Education & Healthcare,19.0
Hungary,0.08333333333333337,40th,Education & Healthcare,20.0
Hungary,0.510520019703047,19th,Education & Healthcare,21.0
Hungary,0.4930191972076789,4th,Education & Healthcare,22.0
Hungary,0.8106498805144905,6th,"Climate, Safety and Security Score",22.5
Hungary,0.8596104373392135,6th,"Climate, Safety and Security",23.0
Hungary,0.7736403310077149,16th,"Climate, Safety and Security",24.0
Hungary,1.0,1st,"Climate, Safety and Security",25.0
Hungary,0.9740223053683336,14th,"Climate, Safety and Security",26.0
Hungary,0.6111111111111112,22nd,"Climate, Safety and Security",27.0
Hungary,0.14045198394248273,20th,"Climate, Safety and Security",28.0
Hungary,0.8313689913203116,23rd,Poverty and Equality Score,28.5
Hungary,0.8571428571428572,23rd,Poverty and Equality,29.0
Hungary,0.9999992313426236,14th,Poverty and Equality,30.0
Hungary,0.8260869565217391,26th,Poverty and Equality,31.0
Hungary,1.0,1st,Poverty and Equality,32.0
Hungary,0.7192296687158345,21st,Poverty and Equality,33.0
Hungary,0.6332020997375327,24th,Poverty and Equality,34.0
Hungary,0.9122807017543859,17th,Poverty and Equality,35.0
Hungary,0.08579315903327189,40th,Poverty and Equality,36.0
Hungary,0.6748331758822281,4th,Final Cost of living Score,36.5
Hungary,0.5302325581395348,34th,All,37.0
Hungary,0.22222222222222224,34th,All,38.0
Hungary,0.8539823008849557,8th,All,39.0
Hungary,0.8935037273695421,3rd,All,40.0
Hungary,0.8958097395243488,8th,All,41.0
Hungary,0.811777076761304,6th,All,42.0
Hungary,0.419639506769679,21st,Final Growth and Development Score,42.5
Hungary,0.5198812076621563,28th,All,43.0
Hungary,0.2661297247170751,8th,All,44.0
Hungary,0.060464261185073157,22nd,All,45.0
Hungary,0.6001509887367301,8th,All,46.0
Hungary,0.4105775922059846,16th,All,47.0
Hungary,0.6227215609423982,34th,All,48.0
Hungary,0.5345161249429626,29th,Final Score,
Hungary,0.5489544118844174,31st,Final Quality of Life Score,
