country,subindex_score,rank,area,indicator,id
Ireland,0.7946815389589262,2nd,Final Economy Score,,0.5
Ireland,1.0,1st,All,GDP per Capita PPP,1.0
Ireland,0.8560606060606061,12th,All,Unemployment Rate,2.0
Ireland,0.9381393083292743,23rd,All,Inflation Rate,3.0
Ireland,0.6041666666666666,18th,All,Local purchasing power index (points),4.0
Ireland,0.4919158432463897,9th,All,Average monthly wage,5.0
Ireland,0.42931937172774864,16th,All,Business Confidence,6.0
Ireland,0.7384437888416121,6th,Happiness and Freedom Score,,6.5
Ireland,0.5,12th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Ireland,0.9514563106796121,4th,Happiness and Freedom,Personal freedom score,8.0
Ireland,0.773881499395405,14th,Happiness and Freedom,Happiness index,9.0
Ireland,0.8542857142857145,7th,Happiness and Freedom,Economic freedom score,10.0
Ireland,0.5000000000000002,12th,Happiness and Freedom,Depression rate,11.0
Ireland,0.7251908396946565,14th,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Ireland,0.4988670589141977,25th,Education & Healthcare Score,,12.5
Ireland,0.92,5th,Education & Healthcare,International Education Database,13.0
Ireland,0.26179816611825435,20th,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Ireland,0.8869701828246489,25th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Ireland,0.5019442658597436,33rd,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Ireland,0.7922136699230748,12th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Ireland,0.0,41st,Education & Healthcare,CEO health care index,18.0
Ireland,0.8,10th,Education & Healthcare,Legatum health care ranking,19.0
Ireland,0.0,41st,Education & Healthcare,Numbeo health index,20.0
Ireland,0.5043276335233269,20th,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Ireland,0.15008726003490402,20th,Education & Healthcare,Hospital Beds,22.0
Ireland,0.7606996286659118,21st,"Climate, Safety and Security Score",,22.5
Ireland,0.6651966188901139,27th,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Ireland,0.5927199742852753,28th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Ireland,0.9473944183749073,12th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Ireland,0.9803089217816394,9th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Ireland,0.9305555555555556,3rd,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Ireland,0.02300306495489747,38th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Ireland,0.8591190300078154,21st,Poverty and Equality Score,,28.5
Ireland,0.9523809523809523,11th,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Ireland,0.6571634122954924,38th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Ireland,0.9109730848861284,16th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Ireland,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Ireland,0.8102720446461247,12th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Ireland,0.7667322834645669,14th,Poverty and Equality,Gender wage gap (%),34.0
Ireland,1.0,1st,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Ireland,0.3247106875123786,34th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Ireland,0.5161806160409597,28th,Final Cost of living Score,,36.5
Ireland,0.8697674418604651,5th,All,Price to Income Ratio (%),37.0
Ireland,0.7037037037037037,7th,All,Mortgage affordability index,38.0
Ireland,0.12831858407079655,39th,All,Rent cost index (points),39.0
Ireland,0.3610223642172524,21st,All,Personal Income Tax Rate,40.0
Ireland,0.6579841449603625,27th,All,Groceries cost index (points),41.0
Ireland,0.3953732912723448,37th,All,Restaurant cost index (points),42.0
Ireland,0.6211369018044897,1st,Final Growth and Development Score,,42.5
Ireland,0.7414497067597399,14th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Ireland,0.088475210798372,15th,All,"International tourism, number of arrivals",44.0
Ireland,0.052572792296538856,24th,All,Net migration,45.0
Ireland,1.0,1st,All,Exports of goods and services (annual % growth),46.0
Ireland,0.9394572025052191,2nd,All,Full Year GDP Growth,47.0
Ireland,0.8785822788619562,5th,All,Population growth (annual %),48.0
Ireland,0.6620851480694694,3rd,Final Score,,
Ireland,0.6929314020790585,14th,Final Quality of Life Score,,
