country,subindex_score,rank,area,id
Israel,0.59021912606613,16th,Final Economy Score,0.5
Israel,0.3437968251210667,18th,All,1.0
Israel,0.8560606060606061,12th,All,2.0
Israel,0.9644422795908427,11th,All,3.0
Israel,0.581140350877193,20th,All,4.0
Israel,0.4129496065324268,13th,All,5.0
Israel,0.4273560209424083,17th,All,6.0
Israel,0.5963719315606021,22nd,Happiness and Freedom Score,6.5
Israel,0.4,19th,Happiness and Freedom,7.0
Israel,0.32362459546925576,37th,Happiness and Freedom,8.0
Israel,0.8095525997581621,12th,Happiness and Freedom,9.0
Israel,0.7085714285714286,30th,Happiness and Freedom,10.0
Israel,0.5909090909090912,6th,Happiness and Freedom,11.0
Israel,0.8893129770992366,6th,Happiness and Freedom,12.0
Israel,0.5723259238995259,20th,Education & Healthcare Score,12.5
Israel,0.66,17th,Education & Healthcare,13.0
Israel,0.539877344264504,7th,Education & Healthcare,14.0
Israel,0.9175824170804079,16th,Education & Healthcare,15.0
Israel,0.7712436760736432,10th,Education & Healthcare,16.0
Israel,0.38343139550198013,31st,Education & Healthcare,17.0
Israel,0.3660971821610828,17th,Education & Healthcare,18.0
Israel,0.5,23rd,Education & Healthcare,19.0
Israel,0.6955128205128206,16th,Education & Healthcare,20.0
Israel,0.5283055379635493,17th,Education & Healthcare,21.0
Israel,0.1518324607329843,18th,Education & Healthcare,22.0
Israel,0.8641599950076607,1st,"Climate, Safety and Security Score",22.5
Israel,0.9162072767364939,2nd,"Climate, Safety and Security",23.0
Israel,0.6162934162823703,27th,"Climate, Safety and Security",24.0
Israel,0.9091133613237836,19th,"Climate, Safety and Security",25.0
Israel,0.9452328784020106,26th,"Climate, Safety and Security",26.0
Israel,0.875,9th,"Climate, Safety and Security",27.0
Israel,1.0,1st,"Climate, Safety and Security",28.0
Israel,0.7205593365941247,34th,Poverty and Equality Score,28.5
Israel,0.9047619047619048,18th,Poverty and Equality,29.0
Israel,0.9999995649109191,7th,Poverty and Equality,30.0
Israel,0.7515527950310559,31st,Poverty and Equality,31.0
Israel,1.0,1st,Poverty and Equality,32.0
Israel,0.759519276375084,18th,Poverty and Equality,33.0
Israel,0.24048556430446189,35th,Poverty and Equality,34.0
Israel,0.45614035087719296,35th,Poverty and Equality,35.0
Israel,0.4724302245161696,23rd,Poverty and Equality,36.0
Israel,0.37160198484703777,39th,Final Cost of living Score,36.5
Israel,0.5534883720930233,33rd,All,37.0
Israel,0.33333333333333337,28th,All,38.0
Israel,0.43805309734513276,32nd,All,39.0
Israel,0.1480298189563366,35th,All,40.0
Israel,0.5673839184597962,32nd,All,41.0
Israel,0.25762355415352267,38th,All,42.0
Israel,0.45963207812452783,14th,Final Growth and Development Score,42.5
Israel,0.6371298349754739,19th,All,43.0
Israel,0.036561281791485635,23rd,All,44.0
Israel,0.0552368134422067,23rd,All,45.0
Israel,0.49185373645443026,19th,All,46.0
Israel,0.5323590814196242,5th,All,47.0
Israel,1.0,1st,All,48.0
Israel,0.5491090419055263,25th,Final Score,
Israel,0.6407744166136896,20th,Final Quality of Life Score,
