country,subindex_score,rank,area,id
Japan,0.6089169756848409,13th,Final Economy Score,0.5
Japan,0.3299311602857825,20th,All,1.0
Japan,0.9393939393939394,4th,All,2.0
Japan,0.9819775937652216,3rd,All,3.0
Japan,0.799342105263158,9th,All,4.0
Japan,0.25541513138312616,21st,All,5.0
Japan,0.2931937172774869,22nd,All,6.0
Japan,0.6006910935116578,21st,Happiness and Freedom Score,6.5
Japan,0.3,25th,Happiness and Freedom,7.0
Japan,0.7896440129449842,14th,Happiness and Freedom,8.0
Japan,0.4307738814993954,33rd,Happiness and Freedom,9.0
Japan,0.8428571428571431,8th,Happiness and Freedom,10.0
Japan,0.7727272727272727,3rd,Happiness and Freedom,11.0
Japan,0.5076335877862596,32nd,Happiness and Freedom,12.0
Japan,0.7257098583612402,5th,Education & Healthcare Score,12.5
Japan,0.76,12th,Education & Healthcare,13.0
Japan,0.0,41st,Education & Healthcare,14.0
Japan,0.9564364203659594,7th,Education & Healthcare,15.0
Japan,0.21997511697702946,40th,Education & Healthcare,16.0
Japan,1.0,1st,Education & Healthcare,17.0
Japan,0.822720213001997,4th,Education & Healthcare,18.0
Japan,0.68,15th,Education & Healthcare,19.0
Japan,0.9134615384615383,2nd,Education & Healthcare,20.0
Japan,0.27849905003166564,36th,Education & Healthcare,21.0
Japan,1.0,1st,Education & Healthcare,22.0
Japan,0.6192270808806996,31st,"Climate, Safety and Security Score",22.5
Japan,0.46306504961411243,35th,"Climate, Safety and Security",23.0
Japan,0.4988868161986715,36th,"Climate, Safety and Security",24.0
Japan,0.6033588540380341,35th,"Climate, Safety and Security",25.0
Japan,1.0,1st,"Climate, Safety and Security",26.0
Japan,0.8958333333333334,6th,"Climate, Safety and Security",27.0
Japan,0.02552223134810416,37th,"Climate, Safety and Security",28.0
Japan,0.6996321868517894,35th,Poverty and Equality Score,28.5
Japan,0.8635778635778636,-,Poverty and Equality,29.0
Japan,0.8785586148495595,32nd,Poverty and Equality,30.0
Japan,0.9668737060041408,5th,Poverty and Equality,31.0
Japan,1.0,1st,Poverty and Equality,32.0
Japan,0.7620159804754297,17th,Poverty and Equality,33.0
Japan,0.31299212598425197,34th,Poverty and Equality,34.0
Japan,0.40350877192982454,39th,Poverty and Equality,35.0
Japan,0.0,41st,Poverty and Equality,36.0
Japan,0.49119706192986395,34th,Final Cost of living Score,36.5
Japan,0.7302325581395348,19th,All,37.0
Japan,0.5925925925925926,12th,All,38.0
Japan,0.6504424778761062,22nd,All,39.0
Japan,0.020873269435569886,39th,All,40.0
Japan,0.5368063420158551,35th,All,41.0
Japan,0.7528916929547844,12th,All,42.0
Japan,0.3397913190761156,31st,Final Growth and Development Score,42.5
Japan,0.6847543119230418,16th,All,43.0
Japan,0.02978482084285003,25th,All,44.0
Japan,0.1779066621341307,8th,All,45.0
Japan,0.1719844349450458,38th,All,46.0
Japan,0.16005567153792621,39th,All,47.0
Japan,0.6140781731513016,35th,All,48.0
Japan,0.5817958046646663,20th,Final Score,
Japan,0.6598385403714631,19th,Final Quality of Life Score,
