country,subindex_score,rank,area,id
"Korea, Rep.",0.6557107388545502,10th,Final Economy Score,0.5
"Korea, Rep.",0.3661100132467589,16th,All,1.0
"Korea, Rep.",0.9469696969696969,3rd,All,2.0
"Korea, Rep.",0.9771066731612275,4th,All,3.0
"Korea, Rep.",0.6359649122807017,17th,All,4.0
"Korea, Rep.",0.4004661787971783,15th,All,5.0
"Korea, Rep.",0.7447643979057591,9th,All,6.0
"Korea, Rep.",0.5192151980318356,29th,Happiness and Freedom Score,6.5
"Korea, Rep.",0.3,25th,Happiness and Freedom,7.0
"Korea, Rep.",0.7249190938511327,21st,Happiness and Freedom,8.0
"Korea, Rep.",0.4334945586457072,31st,Happiness and Freedom,9.0
"Korea, Rep.",0.7285714285714288,27th,Happiness and Freedom,10.0
"Korea, Rep.",0.8181818181818185,2nd,Happiness and Freedom,11.0
"Korea, Rep.",0.0,41st,Happiness and Freedom,12.0
"Korea, Rep.",0.7247776303173117,6th,Education & Healthcare Score,12.5
"Korea, Rep.",0.98,2nd,Education & Healthcare,13.0
"Korea, Rep.",0.42466138388577007,13th,Education & Healthcare,14.0
"Korea, Rep.",0.9109105146042453,20th,Education & Healthcare,15.0
"Korea, Rep.",0.0,41st,Education & Healthcare,16.0
"Korea, Rep.",0.5772408238124068,-,Education & Healthcare,17.0
"Korea, Rep.",1.0,1st,Education & Healthcare,18.0
"Korea, Rep.",0.52,22nd,Education & Healthcare,19.0
"Korea, Rep.",1.0,1st,Education & Healthcare,20.0
"Korea, Rep.",0.3274751952712688,31st,Education & Healthcare,21.0
"Korea, Rep.",0.25526468877254216,-,Education & Healthcare,22.0
"Korea, Rep.",0.6402672245573559,29th,"Climate, Safety and Security Score",22.5
"Korea, Rep.",0.6078647556045571,30th,"Climate, Safety and Security",23.0
"Korea, Rep.",0.2629460137045685,38th,"Climate, Safety and Security",24.0
"Korea, Rep.",0.7643862682143739,29th,"Climate, Safety and Security",25.0
"Korea, Rep.",0.9842646306308425,6th,"Climate, Safety and Security",26.0
"Korea, Rep.",0.5486111111111112,27th,"Climate, Safety and Security",27.0
"Korea, Rep.",0.4586162855439467,4th,"Climate, Safety and Security",28.0
"Korea, Rep.",0.7373887356588413,33rd,Poverty and Equality Score,28.5
"Korea, Rep.",0.8635778635778636,-,Poverty and Equality,29.0
"Korea, Rep.",0.9909545441619225,19th,Poverty and Equality,30.0
"Korea, Rep.",0.9358178053830228,9th,Poverty and Equality,31.0
"Korea, Rep.",1.0,1st,Poverty and Equality,32.0
"Korea, Rep.",0.9612777712868671,3rd,Poverty and Equality,33.0
"Korea, Rep.",0.0,36th,Poverty and Equality,34.0
"Korea, Rep.",0.5789473684210527,33rd,Poverty and Equality,35.0
"Korea, Rep.",0.23607896525945724,37th,Poverty and Equality,36.0
"Korea, Rep.",0.3056518061126046,41st,Final Cost of living Score,36.5
"Korea, Rep.",0.0,41st,All,37.0
"Korea, Rep.",0.14814814814814817,37th,All,38.0
"Korea, Rep.",0.7234513274336283,18th,All,39.0
"Korea, Rep.",0.2545260915867945,26th,All,40.0
"Korea, Rep.",0.29898074745186876,40th,All,41.0
"Korea, Rep.",0.7560462670872765,11th,All,42.0
"Korea, Rep.",0.4322764052746305,19th,Final Growth and Development Score,42.5
"Korea, Rep.",0.9005932423460081,3rd,All,43.0
"Korea, Rep.",0.016073912520822242,29th,All,44.0
"Korea, Rep.",0.10134380441644755,13th,All,45.0
"Korea, Rep.",0.2775714682050444,34th,All,46.0
"Korea, Rep.",0.27139874739039666,29th,All,47.0
"Korea, Rep.",0.667123733264351,32nd,All,48.0
"Korea, Rep.",0.5557197758476922,23rd,Final Score,
"Korea, Rep.",0.6366238378954316,22nd,Final Quality of Life Score,
