country,subindex_score,rank,area,id
Lithuania,0.4037096296577239,32nd,Final Economy Score,0.5
Lithuania,0.31388303763382486,23rd,All,1.0
Lithuania,0.4696969696969697,36th,All,2.0
Lithuania,0.8514369215781783,39th,All,3.0
Lithuania,0.3201754385964912,26th,All,4.0
Lithuania,0.22520538464809323,22nd,All,5.0
Lithuania,0.1734293193717277,35th,All,6.0
Lithuania,0.525908959543936,28th,Happiness and Freedom Score,6.5
Lithuania,0.4,19th,Happiness and Freedom,7.0
Lithuania,0.7605177993527512,19th,Happiness and Freedom,8.0
Lithuania,0.5102781136638451,27th,Happiness and Freedom,9.0
Lithuania,0.8428571428571431,8th,Happiness and Freedom,10.0
Lithuania,0.1363636363636367,34th,Happiness and Freedom,11.0
Lithuania,0.09541984732824427,40th,Happiness and Freedom,12.0
Lithuania,0.5525087500577465,23rd,Education & Healthcare Score,12.5
Lithuania,0.58,20th,Education & Healthcare,13.0
Lithuania,0.30738489934950336,16th,Education & Healthcare,14.0
Lithuania,0.8948194688502572,22nd,Education & Healthcare,15.0
Lithuania,0.7509880912066637,12th,Education & Healthcare,16.0
Lithuania,0.6296967046527224,20th,Education & Healthcare,17.0
Lithuania,0.25848679831373417,24th,Education & Healthcare,18.0
Lithuania,0.44,25th,Education & Healthcare,19.0
Lithuania,0.685897435897436,17th,Education & Healthcare,20.0
Lithuania,0.7043839279431428,5th,Education & Healthcare,21.0
Lithuania,0.42233856893542754,6th,Education & Healthcare,22.0
Lithuania,0.8192146152747242,3rd,"Climate, Safety and Security Score",22.5
Lithuania,0.8349871370819552,15th,"Climate, Safety and Security",23.0
Lithuania,0.8133618773290554,12th,"Climate, Safety and Security",24.0
Lithuania,0.9686342306742406,11th,"Climate, Safety and Security",25.0
Lithuania,0.8442015254522706,32nd,"Climate, Safety and Security",26.0
Lithuania,0.5833333333333334,24th,"Climate, Safety and Security",27.0
Lithuania,0.55279618474658,3rd,"Climate, Safety and Security",28.0
Lithuania,0.822530536684496,26th,Poverty and Equality Score,28.5
Lithuania,0.9523809523809523,11th,Poverty and Equality,29.0
Lithuania,0.7380689822899479,36th,Poverty and Equality,30.0
Lithuania,0.8426501035196687,25th,Poverty and Equality,31.0
Lithuania,1.0,1st,Poverty and Equality,32.0
Lithuania,0.6728747142026753,25th,Poverty and Equality,33.0
Lithuania,0.7362204724409449,18th,Poverty and Equality,34.0
Lithuania,0.8245614035087719,23rd,Poverty and Equality,35.0
Lithuania,0.45536839361760817,25th,Poverty and Equality,36.0
Lithuania,0.6668481567019375,5th,Final Cost of living Score,36.5
Lithuania,0.6186046511627907,29th,All,37.0
Lithuania,0.4074074074074074,24th,All,38.0
Lithuania,0.7389380530973451,17th,All,39.0
Lithuania,0.7870074547390842,4th,All,40.0
Lithuania,0.8482446206115516,11th,All,41.0
Lithuania,0.6456361724500526,19th,All,42.0
Lithuania,0.4956495402500499,10th,Final Growth and Development Score,42.5
Lithuania,0.8149428445851797,8th,All,43.0
Lithuania,0.014056086963988254,30th,All,44.0
Lithuania,0.005444246338705314,38th,All,45.0
Lithuania,0.8891813272469501,2nd,All,46.0
Lithuania,0.42449547668754345,14th,All,47.0
Lithuania,0.7399381678562412,24th,All,48.0
Lithuania,0.5770243360382628,21st,Final Score,
Lithuania,0.6225437776992699,23rd,Final Quality of Life Score,
