country,subindex_score,rank,area,id
New Zealand,0.5959708916217749,15th,Final Economy Score,0.5
New Zealand,0.35306955634215725,17th,All,1.0
New Zealand,0.8939393939393939,5th,All,2.0
New Zealand,0.9478811495372625,18th,All,3.0
New Zealand,0.7182017543859649,14th,All,4.0
New Zealand,0.6134971034276473,4th,All,5.0
New Zealand,0.0,36th,All,6.0
New Zealand,0.8329553032894818,1st,Happiness and Freedom Score,6.5
New Zealand,1.0,1st,Happiness and Freedom,7.0
New Zealand,0.8834951456310681,9th,Happiness and Freedom,8.0
New Zealand,0.8603385731559856,7th,Happiness and Freedom,9.0
New Zealand,0.9714285714285715,2nd,Happiness and Freedom,10.0
New Zealand,0.2272727272727273,33rd,Happiness and Freedom,11.0
New Zealand,0.6717557251908397,18th,Happiness and Freedom,12.0
New Zealand,0.6285421850855092,16th,Education & Healthcare Score,12.5
New Zealand,0.54,22nd,Education & Healthcare,13.0
New Zealand,0.46433354230599266,9th,Education & Healthcare,14.0
New Zealand,0.9383830437747216,10th,Education & Healthcare,15.0
New Zealand,0.8231816349597613,6th,Education & Healthcare,16.0
New Zealand,0.6043458475081669,22nd,Education & Healthcare,17.0
New Zealand,0.4706012868870646,14th,Education & Healthcare,18.0
New Zealand,0.88,7th,Education & Healthcare,19.0
New Zealand,0.6153846153846154,20th,Education & Healthcare,20.0
New Zealand,0.5269685454929279,18th,Education & Healthcare,21.0
New Zealand,0.13089005235602094,23rd,Education & Healthcare,22.0
New Zealand,0.6065047950412801,32nd,"Climate, Safety and Security Score",22.5
New Zealand,0.4395442851892687,36th,"Climate, Safety and Security",23.0
New Zealand,0.6227510163769299,26th,"Climate, Safety and Security",24.0
New Zealand,0.701654729562855,31st,"Climate, Safety and Security",25.0
New Zealand,0.8926622856447308,30th,"Climate, Safety and Security",26.0
New Zealand,0.47916666666666663,30th,"Climate, Safety and Security",27.0
New Zealand,0.01054620582497857,40th,"Climate, Safety and Security",28.0
New Zealand,0.8922732293053808,10th,Poverty and Equality Score,28.5
New Zealand,0.8635778635778636,-,Poverty and Equality,29.0
New Zealand,0.999999736309647,5th,Poverty and Equality,30.0
New Zealand,0.7453416149068323,32nd,Poverty and Equality,31.0
New Zealand,1.0,1st,Poverty and Equality,32.0
New Zealand,0.7967232209841311,13th,Poverty and Equality,33.0
New Zealand,0.8195538057742782,10th,Poverty and Equality,34.0
New Zealand,0.9298245614035088,10th,Poverty and Equality,35.0
New Zealand,1.0,1st,Poverty and Equality,36.0
New Zealand,0.5097188123371653,32nd,Final Cost of living Score,36.5
New Zealand,0.7906976744186046,11th,All,37.0
New Zealand,0.5185185185185185,17th,All,38.0
New Zealand,0.40486725663716816,35th,All,39.0
New Zealand,0.382321618743344,20th,All,40.0
New Zealand,0.5039637599093998,36th,All,41.0
New Zealand,0.41850683491062035,34th,All,42.0
New Zealand,0.5110809747352064,7th,Final Growth and Development Score,42.5
New Zealand,1.0,1st,All,43.0
New Zealand,0.0029966856141917537,39th,All,44.0
New Zealand,0.09229029505421699,14th,All,45.0
New Zealand,0.24728085931632332,35th,All,46.0
New Zealand,0.4732080723729993,7th,All,47.0
New Zealand,0.818829077007142,10th,All,48.0
New Zealand,0.6513726601349451,8th,Final Score,
New Zealand,0.7608499022066497,4th,Final Quality of Life Score,
