country,subindex_score,rank,area,indicator,id
Norway,0.6948341424809861,6th,Final Economy Score,,0.5
Norway,0.6000564615952573,3rd,All,GDP per Capita PPP,1.0
Norway,0.8712121212121212,9th,All,Unemployment Rate,2.0
Norway,0.9498295177788602,17th,All,Inflation Rate,3.0
Norway,0.7401315789473684,12th,All,Local purchasing power index (points),4.0
Norway,0.5867747388979389,5th,All,Average monthly wage,5.0
Norway,0.2840314136125654,24th,All,Business Confidence,6.0
Norway,0.7024029666507422,10th,Happiness and Freedom Score,,6.5
Norway,0.3,25th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Norway,0.9093851132686086,6th,Happiness and Freedom,Personal freedom score,8.0
Norway,0.9350060459492141,3rd,Happiness and Freedom,Happiness index,9.0
Norway,0.7742857142857145,20th,Happiness and Freedom,Economic freedom score,10.0
Norway,0.5454545454545454,7th,Happiness and Freedom,Depression rate,11.0
Norway,0.6412213740458015,21st,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Norway,0.7385547125374744,3rd,Education & Healthcare Score,,12.5
Norway,0.72,14th,Education & Healthcare,International Education Database,13.0
Norway,0.18430072594215133,29th,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Norway,0.9509419201598076,9th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Norway,0.7913079512665925,8th,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Norway,0.8560434518634925,4th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Norway,0.5116485467051254,13th,Education & Healthcare,CEO health care index,18.0
Norway,0.98,2nd,Education & Healthcare,Legatum health care ranking,19.0
Norway,0.7980769230769232,9th,Education & Healthcare,Numbeo health index,20.0
Norway,0.7783055379635493,4th,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Norway,0.1945898778359511,15th,Education & Healthcare,Hospital Beds,22.0
Norway,0.7759905324047716,13th,"Climate, Safety and Security Score",,22.5
Norway,0.5564130834252113,32nd,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Norway,0.6305818717450891,25th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Norway,0.9459125710051864,13th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Norway,0.9855676237188449,5th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Norway,1.0,1st,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Norway,0.13345553667907786,22nd,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Norway,0.9498439982632509,3rd,Poverty and Equality Score,,28.5
Norway,0.9523809523809523,11th,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Norway,0.9999989716076271,16th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Norway,0.9565217391304348,6th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Norway,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Norway,1.0,1st,Poverty and Equality,Individuals using the Internet (% of population),33.0
Norway,0.8874671916010499,4th,Poverty and Equality,Gender wage gap (%),34.0
Norway,0.9122807017543859,17th,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Norway,0.8937368333073786,5th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Norway,0.5313736963205624,22nd,Final Cost of living Score,,36.5
Norway,0.8325581395348838,9th,All,Price to Income Ratio (%),37.0
Norway,0.6666666666666666,8th,All,Mortgage affordability index,38.0
Norway,0.42699115044247793,34th,All,Rent cost index (points),39.0
Norway,0.3993610223642172,19th,All,Personal Income Tax Rate,40.0
Norway,0.36353340883352225,39th,All,Groceries cost index (points),41.0
Norway,0.19873817034700325,39th,All,Restaurant cost index (points),42.0
Norway,0.4384774091486298,18th,Final Growth and Development Score,,42.5
Norway,0.8511909086527637,6th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Norway,0.006439868798406347,35th,All,"International tourism, number of arrivals",44.0
Norway,0.044393414872730554,26th,All,Net migration,45.0
Norway,0.3335335817280812,31st,All,Exports of goods and services (annual % growth),46.0
Norway,0.32011134307585243,24th,All,Full Year GDP Growth,47.0
Norway,0.8001719451786778,14th,All,Population growth (annual %),48.0
Norway,0.6741202818250673,2nd,Final Score,,
Norway,0.7700954533146666,2nd,Final Quality of Life Score,,
