country,subindex_score,rank,area,indicator,id
Panama,0.2914398587189693,39th,Final Economy Score,,0.5
Panama,0.20239310299897934,32nd,All,GDP per Capita PPP,1.0
Panama,0.05303030303030298,40th,All,Unemployment Rate,2.0
Panama,1.0,1st,All,Inflation Rate,3.0
Panama,0.0975877192982456,37th,All,Local purchasing power index (points),4.0
Panama,0.07901902163155249,34th,All,Average monthly wage,5.0
Panama,0.4757580715532285,-,All,Business Confidence,6.0
Panama,0.6251210493392179,17th,Happiness and Freedom Score,,6.5
Panama,0.6,8th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Panama,0.39482200647249194,35th,Happiness and Freedom,Personal freedom score,8.0
Panama,0.5622732769044738,22nd,Happiness and Freedom,Happiness index,9.0
Panama,0.7371428571428573,25th,Happiness and Freedom,Economic freedom score,10.0
Panama,0.6818181818181818,4th,Happiness and Freedom,Depression rate,11.0
Panama,0.9809160305343512,3rd,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Panama,0.25854799176960314,36th,Education & Healthcare Score,,12.5
Panama,0.08,39th,Education & Healthcare,International Education Database,13.0
Panama,0.3035119686196978,17th,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Panama,0.759811618040252,35th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Panama,0.8280263405354906,5th,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Panama,0.2684472816510962,35th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Panama,0.0994009318837365,35th,Education & Healthcare,CEO health care index,18.0
Panama,0.22,35th,Education & Healthcare,Legatum health care ranking,19.0
Panama,0.29487179487179493,31st,Education & Healthcare,Numbeo health index,20.0
Panama,0.17760889451833087,37th,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Panama,0.25526468877254216,-,Education & Healthcare,Hospital Beds,22.0
Panama,0.4918958436544983,38th,"Climate, Safety and Security Score",,22.5
Panama,0.0,41st,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Panama,0.8891256292757653,7th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Panama,0.5700172882193135,36th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Panama,0.48933202329051195,40th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Panama,0.18055555555555558,35th,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Panama,0.2714357111989322,6th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Panama,0.4836438897081978,40th,Poverty and Equality Score,,28.5
Panama,0.7619047619047619,29th,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Panama,0.2580466861104637,39th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Panama,0.8118012422360248,-,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Panama,0.0,41st,Poverty and Equality,Access to electricity (% of population),32.0
Panama,0.05815127840767293,40th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Panama,0.6738754009915426,-,Poverty and Equality,Gender wage gap (%),34.0
Panama,0.42105263157894735,37th,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Panama,0.32560235479889654,33rd,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Panama,0.6462431320532152,7th,Final Cost of living Score,,36.5
Panama,0.7348837209302326,18th,All,Price to Income Ratio (%),37.0
Panama,0.4074074074074074,24th,All,Mortgage affordability index,38.0
Panama,0.6747787610619469,20th,All,Rent cost index (points),39.0
Panama,0.6805111821086263,7th,All,Personal Income Tax Rate,40.0
Panama,0.7689694224235561,19th,All,Groceries cost index (points),41.0
Panama,0.7160883280757098,15th,All,Restaurant cost index (points),42.0
Panama,0.2905349928145736,37th,Final Growth and Development Score,,42.5
Panama,0.2733122949422261,38th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Panama,0.0,41st,All,"International tourism, number of arrivals",44.0
Panama,0.035494266110737256,27th,All,Net migration,45.0
Panama,0.3394700010922379,30th,All,Exports of goods and services (annual % growth),46.0
Panama,0.382098121085595,-,All,Full Year GDP Growth,47.0
Panama,0.9462525339448927,2nd,All,Population growth (annual %),48.0
Panama,0.43794996808157194,36th,Final Score,,
Panama,0.4735311795736575,36th,Final Quality of Life Score,,
