country,subindex_score,rank,area,indicator,id
Peru,0.3275488342878045,36th,Final Economy Score,,0.5
Peru,0.022986384069143738,39th,All,GDP per Capita PPP,1.0
Peru,0.5833333333333333,30th,All,Unemployment Rate,2.0
Peru,0.9356064296151972,25th,All,Inflation Rate,3.0
Peru,0.04166666666666667,38th,All,Local purchasing power index (points),4.0
Peru,0.0,37th,All,Average monthly wage,5.0
Peru,0.5739528795811517,13th,All,Business Confidence,6.0
Peru,0.5485678351626986,25th,Happiness and Freedom Score,,6.5
Peru,0.5,12th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Peru,0.37540453074433644,36th,Happiness and Freedom,Personal freedom score,8.0
Peru,0.37363966142684396,35th,Happiness and Freedom,Happiness index,9.0
Peru,0.7514285714285716,24th,Happiness and Freedom,Economic freedom score,10.0
Peru,0.5000000000000002,12th,Happiness and Freedom,Depression rate,11.0
Peru,0.9847328244274809,2nd,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Peru,0.24306397314180442,39th,Education & Healthcare Score,,12.5
Peru,0.24,35th,Education & Healthcare,International Education Database,13.0
Peru,0.6879782224837997,5th,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Peru,0.7935635854032713,34th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Peru,0.3218907141953188,38th,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Peru,0.1145314099008713,38th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Peru,0.06856001775016649,37th,Education & Healthcare,CEO health care index,18.0
Peru,0.14,37th,Education & Healthcare,Legatum health care ranking,19.0
Peru,0.13141025641025644,39th,Education & Healthcare,Numbeo health index,20.0
Peru,0.505289780938926,-,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Peru,0.25526468877254216,-,Education & Healthcare,Hospital Beds,22.0
Peru,0.5313560429142017,34th,"Climate, Safety and Security Score",,22.5
Peru,0.4373392135244395,37th,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Peru,0.9921599560080074,2nd,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Peru,0.39639417140034583,40th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Peru,0.6791462909965769,37th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Peru,0.20138888888888895,34th,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Peru,0.14303731851848242,19th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Peru,0.5166805392843343,39th,Poverty and Equality Score,,28.5
Peru,0.6666666666666667,34th,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Peru,0.09545809599119602,40th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Peru,0.0,40th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Peru,0.791165233751781,39th,Poverty and Equality,Access to electricity (% of population),32.0
Peru,0.24402277155472904,39th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Peru,0.6738754009915426,-,Poverty and Equality,Gender wage gap (%),34.0
Peru,0.8596491228070176,22nd,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Peru,0.7678692987769854,11th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Peru,0.5528014522599032,18th,Final Cost of living Score,,36.5
Peru,0.32558139534883723,39th,All,Price to Income Ratio (%),37.0
Peru,0.14814814814814817,37th,All,Mortgage affordability index,38.0
Peru,0.8650442477876106,7th,All,Rent cost index (points),39.0
Peru,0.5740149094781684,10th,All,Personal Income Tax Rate,40.0
Peru,0.956964892412231,4th,All,Groceries cost index (points),41.0
Peru,0.9169295478443743,3rd,All,Restaurant cost index (points),42.0
Peru,0.29690068552166743,36th,Final Growth and Development Score,,42.5
Peru,0.3501428255945191,35th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Peru,0.004052824097130395,38th,All,"International tourism, number of arrivals",44.0
Peru,0.1439612051920662,10th,All,Net migration,45.0
Peru,0.2831559868868995,33rd,All,Exports of goods and services (annual % growth),46.0
Peru,0.27696590118302017,28th,All,Full Year GDP Growth,47.0
Peru,0.9294237357938502,3rd,All,Population growth (annual %),48.0
Peru,0.4188495769537058,37th,Final Score,,
Peru,0.4488180381559078,38th,Final Quality of Life Score,,
