country,subindex_score,rank,area,indicator,id
Portugal,0.43260698941258263,26th,Final Economy Score,,0.5
Portugal,0.25274164476970185,27th,All,GDP per Capita PPP,1.0
Portugal,0.6590909090909091,26th,All,Unemployment Rate,2.0
Portugal,0.9576229907452508,15th,All,Inflation Rate,3.0
Portugal,0.2653508771929825,30th,All,Local purchasing power index (points),4.0
Portugal,0.11350076904692434,31st,All,Average monthly wage,5.0
Portugal,0.3017015706806282,21st,All,Business Confidence,6.0
Portugal,0.4498224499002545,37th,Happiness and Freedom Score,,6.5
Portugal,0.0,36th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Portugal,0.7734627831715212,16th,Happiness and Freedom,Personal freedom score,8.0
Portugal,0.3724304715840385,36th,Happiness and Freedom,Happiness index,9.0
Portugal,0.7314285714285715,26th,Happiness and Freedom,Economic freedom score,10.0
Portugal,0.09090909090909094,36th,Happiness and Freedom,Depression rate,11.0
Portugal,0.6526717557251909,20th,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Portugal,0.5592312824031435,22nd,Education & Healthcare Score,,12.5
Portugal,0.6,19th,Education & Healthcare,International Education Database,13.0
Portugal,0.18495191827585283,28th,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Portugal,0.8457613843397351,31st,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Portugal,0.5026614440622116,32nd,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Portugal,0.7976459871738336,10th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Portugal,0.3534501885955181,18th,Education & Healthcare,CEO health care index,18.0
Portugal,0.54,21st,Education & Healthcare,Legatum health care ranking,19.0
Portugal,0.6314102564102565,19th,Education & Healthcare,Numbeo health index,20.0
Portugal,0.8551298290056998,2nd,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Portugal,0.20593368237347293,14th,Education & Healthcare,Hospital Beds,22.0
Portugal,0.7757233964315446,14th,"Climate, Safety and Security Score",,22.5
Portugal,0.7622197721425946,23rd,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Portugal,0.8031017551776083,13th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Portugal,0.898493455174117,22nd,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Portugal,0.9702415428088635,16th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Portugal,0.576388888888889,25th,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Portugal,0.1764583417886682,16th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Portugal,0.8811806508300175,13th,Poverty and Equality Score,,28.5
Portugal,0.9047619047619048,18th,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Portugal,0.9883963548505796,22nd,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Portugal,0.8053830227743272,28th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Portugal,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Portugal,0.5476151837487933,32nd,Poverty and Equality,Individuals using the Internet (% of population),33.0
Portugal,0.6538713910761154,22nd,Poverty and Equality,Gender wage gap (%),34.0
Portugal,1.0,1st,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Portugal,0.7678692987769854,11th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Portugal,0.5118643179381029,31st,Final Cost of living Score,,36.5
Portugal,0.6232558139534884,28th,All,Price to Income Ratio (%),37.0
Portugal,0.4444444444444445,21st,All,Mortgage affordability index,38.0
Portugal,0.6261061946902655,24th,All,Rent cost index (points),39.0
Portugal,0.1906283280085197,33rd,All,Personal Income Tax Rate,40.0
Portugal,0.8822197055492639,10th,All,Groceries cost index (points),41.0
Portugal,0.7444794952681387,13th,All,Restaurant cost index (points),42.0
Portugal,0.4406865577106872,17th,Final Growth and Development Score,,42.5
Portugal,0.6295925568119285,22nd,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Portugal,0.030576497054833337,24th,All,"International tourism, number of arrivals",44.0
Portugal,0.07334209777790111,16th,All,Net migration,45.0
Portugal,0.5163302499946711,15th,All,Exports of goods and services (annual % growth),46.0
Portugal,0.558107167710508,4th,All,Full Year GDP Growth,47.0
Portugal,0.7510482293678317,21st,All,Population growth (annual %),48.0
Portugal,0.5351832890943232,28th,Final Score,,
Portugal,0.6015068344902028,26th,Final Quality of Life Score,,
