country,subindex_score,rank,area,indicator,id
Romania,0.4299212866354827,28th,Final Economy Score,,0.5
Romania,0.22127516341288628,30th,All,GDP per Capita PPP,1.0
Romania,0.7424242424242424,16th,All,Unemployment Rate,2.0
Romania,0.871602532878714,36th,All,Inflation Rate,3.0
Romania,0.2741228070175438,29th,All,Local purchasing power index (points),4.0
Romania,0.1479194678107309,27th,All,Average monthly wage,5.0
Romania,0.2840314136125654,24th,All,Business Confidence,6.0
Romania,0.6204746856568475,18th,Happiness and Freedom Score,,6.5
Romania,0.7,5th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Romania,0.5307443365695793,32nd,Happiness and Freedom,Personal freedom score,8.0
Romania,0.48639661426844016,30th,Happiness and Freedom,Happiness index,9.0
Romania,0.8200000000000003,13th,Happiness and Freedom,Economic freedom score,10.0
Romania,0.40909090909090917,18th,Happiness and Freedom,Depression rate,11.0
Romania,0.7213740458015268,15th,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Romania,0.24762789047685302,38th,Education & Healthcare Score,,12.5
Romania,0.16,36th,Education & Healthcare,International Education Database,13.0
Romania,0.09442970594965851,38th,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Romania,0.9713500825705019,5th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Romania,0.6216611786035643,23rd,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Romania,0.32639199929431795,33rd,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Romania,0.03705347237630357,40th,Education & Healthcare,CEO health care index,18.0
Romania,0.26,33rd,Education & Healthcare,Legatum health care ranking,19.0
Romania,0.15064102564102572,38th,Education & Healthcare,Numbeo health index,20.0
Romania,0.32678910702976566,32nd,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Romania,0.25526468877254216,-,Education & Healthcare,Hospital Beds,22.0
Romania,0.7960492487102679,7th,"Climate, Safety and Security Score",,22.5
Romania,0.8419698640205806,13th,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Romania,0.8409246021990181,10th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Romania,0.945171647320326,14th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Romania,0.9455287916602618,25th,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Romania,0.43055555555555547,31st,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Romania,0.27954533784700525,5th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Romania,0.7712001364984824,31st,Poverty and Equality Score,,28.5
Romania,0.6666666666666667,34th,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Romania,0.9999995649109191,7th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Romania,0.7681159420289855,30th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Romania,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Romania,0.5823458292635603,29th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Romania,0.8494094488188977,7th,Poverty and Equality,Gender wage gap (%),34.0
Romania,0.7368421052631579,28th,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Romania,0.22445639452928123,38th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Romania,0.7684231690857621,2nd,Final Cost of living Score,,36.5
Romania,0.7023255813953488,22nd,All,Price to Income Ratio (%),37.0
Romania,0.33333333333333337,28th,All,Mortgage affordability index,38.0
Romania,0.8915929203539823,5th,All,Rent cost index (points),39.0
Romania,1.0,1st,All,Personal Income Tax Rate,40.0
Romania,0.927519818799547,6th,All,Groceries cost index (points),41.0
Romania,0.804416403785489,7th,All,Restaurant cost index (points),42.0
Romania,0.36333933941800767,30th,Final Growth and Development Score,,42.5
Romania,0.5169088815148218,29th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Romania,0.037574487815768234,21st,All,"International tourism, number of arrivals",44.0
Romania,0.0039335937229001755,39th,All,Net migration,45.0
Romania,0.5961678007060359,9th,All,Exports of goods and services (annual % growth),46.0
Romania,0.42449547668754345,14th,All,Full Year GDP Growth,47.0
Romania,0.558425426200052,38th,All,Population growth (annual %),48.0
Romania,0.5422385269682334,26th,Final Score,,
Romania,0.5563231935765183,29th,Final Quality of Life Score,,
