country,subindex_score,rank,area,indicator,id
Slovenia,0.4884652980592105,23rd,Final Economy Score,,0.5
Slovenia,0.3218093769680123,22nd,All,GDP per Capita PPP,1.0
Slovenia,0.7424242424242424,16th,All,Unemployment Rate,2.0
Slovenia,0.9215781782756941,28th,All,Inflation Rate,3.0
Slovenia,0.375,24th,All,Local purchasing power index (points),4.0
Slovenia,0.2617604063265656,20th,All,Average monthly wage,5.0
Slovenia,0.2277486910994764,31st,All,Business Confidence,6.0
Slovenia,0.4510056628656649,36th,Happiness and Freedom Score,,6.5
Slovenia,0.1,34th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Slovenia,0.6957928802588997,22nd,Happiness and Freedom,Personal freedom score,8.0
Slovenia,0.5009068923821041,28th,Happiness and Freedom,Happiness index,9.0
Slovenia,0.6085714285714287,36th,Happiness and Freedom,Economic freedom score,10.0
Slovenia,0.363636363636364,23rd,Happiness and Freedom,Depression rate,11.0
Slovenia,0.33587786259541985,38th,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Slovenia,0.5599604224765978,21st,Education & Healthcare Score,,12.5
Slovenia,0.86,8th,Education & Healthcare,International Education Database,13.0
Slovenia,0.25463455745944513,21st,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Slovenia,0.9226844623435995,13th,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Slovenia,0.7543188378441303,11th,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Slovenia,0.8433680448846965,5th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Slovenia,0.13756378966052812,30th,Education & Healthcare,CEO health care index,18.0
Slovenia,0.56,20th,Education & Healthcare,Legatum health care ranking,19.0
Slovenia,0.43269230769230765,27th,Education & Healthcare,Numbeo health index,20.0
Slovenia,0.466927028358314,25th,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Slovenia,0.27137870855148344,11th,Education & Healthcare,Hospital Beds,22.0
Slovenia,0.7772844139167202,12th,"Climate, Safety and Security Score",,22.5
Slovenia,0.6490260933480339,28th,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Slovenia,0.6457926200010586,24th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Slovenia,0.9883921956038528,7th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Slovenia,0.9874913812305781,3rd,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Slovenia,0.7916666666666667,16th,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Slovenia,0.10040678987766953,24th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Slovenia,0.891319176861426,11th,Poverty and Equality Score,,28.5
Slovenia,1.0,1st,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Slovenia,0.9340769769542367,28th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Slovenia,0.8923395445134575,19th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Slovenia,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Slovenia,0.7290726123869461,20th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Slovenia,0.7693569553805775,13th,Poverty and Equality,Gender wage gap (%),34.0
Slovenia,0.9122807017543859,17th,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Slovenia,0.4302246426597913,27th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Slovenia,0.5444182411485315,19th,Final Cost of living Score,,36.5
Slovenia,0.6465116279069767,27th,All,Price to Income Ratio (%),37.0
Slovenia,0.4444444444444445,21st,All,Mortgage affordability index,38.0
Slovenia,0.7433628318584071,16th,All,Rent cost index (points),39.0
Slovenia,0.2545260915867945,26th,All,Personal Income Tax Rate,40.0
Slovenia,0.7927519818799548,18th,All,Groceries cost index (points),41.0
Slovenia,0.6929547844374342,18th,All,Restaurant cost index (points),42.0
Slovenia,0.4162564826598978,22nd,Final Growth and Development Score,,42.5
Slovenia,0.6314394705058494,21st,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Slovenia,0.004885713795057615,36th,All,"International tourism, number of arrivals",44.0
Slovenia,0.033924644276863945,28th,All,Net migration,45.0
Slovenia,0.5416286903289139,13th,All,Exports of goods and services (annual % growth),46.0
Slovenia,0.46624913013221986,9th,All,Full Year GDP Growth,47.0
Slovenia,0.7504233926210969,22nd,All,Population growth (annual %),48.0
Slovenia,0.5513441680406739,24th,Final Score,,
Slovenia,0.6043826686532026,25th,Final Quality of Life Score,,
