country,subindex_score,rank,area,indicator,id
Tunisia,0.22216344788056766,41st,Final Economy Score,,0.5
Tunisia,0.0,41st,All,GDP per Capita PPP,1.0
Tunisia,0.0,41st,All,Unemployment Rate,2.0
Tunisia,0.9147588894301023,31st,All,Inflation Rate,3.0
Tunisia,0.027412280701754384,39th,All,Local purchasing power index (points),4.0
Tunisia,0.3326196520546628,-,All,Average monthly wage,5.0
Tunisia,0.4757580715532285,-,All,Business Confidence,6.0
Tunisia,0.23173371666501438,41st,Happiness and Freedom Score,,6.5
Tunisia,0.1,34th,Happiness and Freedom,Strength of legal rights index (0=weak to 12=strong),7.0
Tunisia,0.0,41st,Happiness and Freedom,Personal freedom score,8.0
Tunisia,0.0,41st,Happiness and Freedom,Happiness index,9.0
Tunisia,0.3485714285714286,40th,Happiness and Freedom,Economic freedom score,10.0
Tunisia,0.4545454545454545,16th,Happiness and Freedom,Depression rate,11.0
Tunisia,0.9656488549618321,4th,Happiness and Freedom,"Suicide mortality rate (per 100,000 population)",12.0
Tunisia,0.18579745299513056,41st,Education & Healthcare Score,,12.5
Tunisia,0.12,38th,Education & Healthcare,International Education Database,13.0
Tunisia,1.0,1st,Education & Healthcare,"Government expenditure on education, total (% of government expenditure)",14.0
Tunisia,0.0,41st,Education & Healthcare,Unemployment with advanced education (% of total labor force with advanced education),15.0
Tunisia,1.0,1st,Education & Healthcare,"School enrollment, tertiary (% gross)",16.0
Tunisia,0.0,40th,Education & Healthcare,"Share of youth not in education, employment or training, total (% of youth population)",17.0
Tunisia,0.09008209451963617,36th,Education & Healthcare,CEO health care index,18.0
Tunisia,0.0,40th,Education & Healthcare,Legatum health care ranking,19.0
Tunisia,0.169871794871795,36th,Education & Healthcare,Numbeo health index,20.0
Tunisia,0.12103300260361691,38th,Education & Healthcare,"Physicians (per 1,000 people)",21.0
Tunisia,0.25526468877254216,-,Education & Healthcare,Hospital Beds,22.0
Tunisia,0.7022154715995639,27th,"Climate, Safety and Security Score",,22.5
Tunisia,1.0,1st,"Climate, Safety and Security",Average precipitation in depth (mm per year),23.0
Tunisia,0.937603414197671,6th,"Climate, Safety and Security",CO2 emissions (metric tons per capita),24.0
Tunisia,0.7801926401580638,28th,"Climate, Safety and Security",Vulnerability and exposure to natural hazards,25.0
Tunisia,0.7971243785637374,33rd,"Climate, Safety and Security","Intentional homicides (per 100,000 people)",26.0
Tunisia,0.0,41st,"Climate, Safety and Security","Mortality caused by road traffic injury (per 100,000 population)",27.0
Tunisia,0.21212120999863124,10th,"Climate, Safety and Security",Armed forces personnel (% of total labor force),28.0
Tunisia,0.5729580402831744,37th,Poverty and Equality Score,,28.5
Tunisia,1.0,1st,Poverty and Equality,Poverty gap at $2.15 a day (2017 PPP) (%),29.0
Tunisia,0.6760967065326875,37th,Poverty and Equality,People using at least basic drinking water services (% of population),30.0
Tunisia,0.4658385093167702,37th,Poverty and Equality,Prevalence of moderate or severe food insecurity in the population (%),31.0
Tunisia,1.0,1st,Poverty and Equality,Access to electricity (% of population),32.0
Tunisia,0.26549349347959617,38th,Poverty and Equality,Individuals using the Internet (% of population),33.0
Tunisia,0.6738754009915426,-,Poverty and Equality,Gender wage gap (%),34.0
Tunisia,0.0,40th,Poverty and Equality,Women Business and the Law Index Score (scale 1-100),35.0
Tunisia,0.42011086265243497,28th,Poverty and Equality,Proportion of seats held by women in national parliaments (%),36.0
Tunisia,0.6424868943540465,8th,Final Cost of living Score,,36.5
Tunisia,0.655813953488372,26th,All,Price to Income Ratio (%),37.0
Tunisia,0.22222222222222224,34th,All,Mortgage affordability index,38.0
Tunisia,1.0,1st,All,Rent cost index (points),39.0
Tunisia,0.46751863684771033,14th,All,Personal Income Tax Rate,40.0
Tunisia,1.0,1st,All,Groceries cost index (points),41.0
Tunisia,1.0,1st,All,Restaurant cost index (points),42.0
Tunisia,0.2449822440835997,39th,Final Growth and Development Score,,42.5
Tunisia,0.34872140340983077,36th,All,Ease of doing business score (0 = lowest performance to 100 = best performance),43.0
Tunisia,0.011720561213099551,31st,All,"International tourism, number of arrivals",44.0
Tunisia,0.01006465801322298,36th,All,Net migration,45.0
Tunisia,0.0,41st,All,Exports of goods and services (annual % growth),46.0
Tunisia,0.25748086290883787,32nd,All,Full Year GDP Growth,47.0
Tunisia,0.8551907243494069,7th,All,Population growth (annual %),48.0
Tunisia,0.35712801065209177,41st,Final Score,,
Tunisia,0.33324587778113623,41st,Final Quality of Life Score,,
