country,indicator,better_higher_lower,latest_value,year
Argentina,Rent cost index (points),lower,6.9,2023
Australia,Rent cost index (points),lower,39,2023
Austria,Rent cost index (points),lower,23.1,2023
Belgium,Rent cost index (points),lower,22.4,2023
Brazil,Rent cost index (points),lower,8.3,2023
Bulgaria,Rent cost index (points),lower,10,2023
Canada,Rent cost index (points),lower,33.4,2023
Chile,Rent cost index (points),lower,13.4,2023
Costa Rica,Rent cost index (points),lower,14.9,2023
Croatia,Rent cost index (points),lower,12.2,2023
Czechia,Rent cost index (points),lower,19.1,2023
Denmark,Rent cost index (points),lower,30.4,2023
Estonia,Rent cost index (points),lower,16.4,2023
Finland,Rent cost index (points),lower,22.7,2023
France,Rent cost index (points),lower,24.6,2023
Germany,Rent cost index (points),lower,26.1,2023
Greece,Rent cost index (points),lower,12.9,2023
Hungary,Rent cost index (points),lower,11.6,2023
Indonesia,Rent cost index (points),lower,8.3,2023
Ireland,Rent cost index (points),lower,44.4,2023
Israel,Rent cost index (points),lower,30.4,2023
Italy,Rent cost index (points),lower,20.5,2023
Japan,Rent cost index (points),lower,20.8,2023
"Korea, Rep.",Rent cost index (points),lower,17.5,2023
Lithuania,Rent cost index (points),lower,16.8,2023
Netherlands,Rent cost index (points),lower,33.4,2023
New Zealand,Rent cost index (points),lower,31.9,2023
Norway,Rent cost index (points),lower,30.9,2023
Panama,Rent cost index (points),lower,19.7,2023
Peru,Rent cost index (points),lower,11.1,2023
Poland,Rent cost index (points),lower,16,2023
Portugal,Rent cost index (points),lower,21.9,2023
Romania,Rent cost index (points),lower,9.9,2023
Slovenia,Rent cost index (points),lower,16.6,2023
Spain,Rent cost index (points),lower,21.7,2023
Sweden,Rent cost index (points),lower,22.7,2023
Switzerland,Rent cost index (points),lower,50.2,2023
Tunisia,Rent cost index (points),lower,5,2023
United Kingdom,Rent cost index (points),lower,30.3,2023
United States,Rent cost index (points),lower,47.1,2023
Uruguay,Rent cost index (points),lower,15.9,2023
Argentina,Groceries cost index (points),lower,25.7,2023
Australia,Groceries cost index (points),lower,73.3,2023
Austria,Groceries cost index (points),lower,58,2023
Belgium,Groceries cost index (points),lower,54.5,2023
Brazil,Groceries cost index (points),lower,29.3,2023
Bulgaria,Groceries cost index (points),lower,35.7,2023
Canada,Groceries cost index (points),lower,64.2,2023
Chile,Groceries cost index (points),lower,39.9,2023
Costa Rica,Groceries cost index (points),lower,46.7,2023
Croatia,Groceries cost index (points),lower,39.5,2023
Czechia,Groceries cost index (points),lower,40.7,2023
Denmark,Groceries cost index (points),lower,62.4,2023
Estonia,Groceries cost index (points),lower,42.4,2023
Finland,Groceries cost index (points),lower,58.2,2023
France,Groceries cost index (points),lower,65.1,2023
Germany,Groceries cost index (points),lower,50.9,2023
Greece,Groceries cost index (points),lower,42.4,2023
Hungary,Groceries cost index (points),lower,34.8,2023
Indonesia,Groceries cost index (points),lower,33.1,2023
Ireland,Groceries cost index (points),lower,55.8,2023
