country,indicator,better_higher_lower,latest_value,year,metric,source
Argentina,Vulnerability and exposure to natural hazards,lower,0.1561,2022,%, Institute for Environment and Human Security (EHS) 
Australia,Vulnerability and exposure to natural hazards,lower,0.2136,2022,%, Institute for Environment and Human Security (EHS) 
Austria,Vulnerability and exposure to natural hazards,lower,0.0114,2022,%, Institute for Environment and Human Security (EHS) 
Belgium,Vulnerability and exposure to natural hazards,lower,0.0416,2022,%, Institute for Environment and Human Security (EHS) 
Brazil,Vulnerability and exposure to natural hazards,lower,0.1215,2022,%, Institute for Environment and Human Security (EHS) 
Bulgaria,Vulnerability and exposure to natural hazards,lower,0.0215,2022,%, Institute for Environment and Human Security (EHS) 
Canada,Vulnerability and exposure to natural hazards,lower,0.1899,2022,%, Institute for Environment and Human Security (EHS) 
Chile,Vulnerability and exposure to natural hazards,lower,0.1384,2022,%, Institute for Environment and Human Security (EHS) 
Costa Rica,Vulnerability and exposure to natural hazards,lower,0.142,2022,%, Institute for Environment and Human Security (EHS) 
Croatia,Vulnerability and exposure to natural hazards,lower,0.0486,2022,%, Institute for Environment and Human Security (EHS) 
Czechia,Vulnerability and exposure to natural hazards,lower,0.01,2022,%, Institute for Environment and Human Security (EHS) 
Denmark,Vulnerability and exposure to natural hazards,lower,0.0103,2022,%, Institute for Environment and Human Security (EHS) 
Estonia,Vulnerability and exposure to natural hazards,lower,0.0182,2022,%, Institute for Environment and Human Security (EHS) 
Finland,Vulnerability and exposure to natural hazards,lower,0.013,2022,%, Institute for Environment and Human Security (EHS) 
France,Vulnerability and exposure to natural hazards,lower,0.0667,2022,%, Institute for Environment and Human Security (EHS) 
Germany,Vulnerability and exposure to natural hazards,lower,0.0392,2022,%, Institute for Environment and Human Security (EHS) 
Greece,Vulnerability and exposure to natural hazards,lower,0.0855,2022,%, Institute for Environment and Human Security (EHS) 
Hungary,Vulnerability and exposure to natural hazards,lower,0.0097,2022,%, Institute for Environment and Human Security (EHS) 
Indonesia,Vulnerability and exposure to natural hazards,lower,0.4146,2022,%, Institute for Environment and Human Security (EHS) 
Ireland,Vulnerability and exposure to natural hazards,lower,0.031,2022,%, Institute for Environment and Human Security (EHS) 
Israel,Vulnerability and exposure to natural hazards,lower,0.0465,2022,%, Institute for Environment and Human Security (EHS) 
Italy,Vulnerability and exposure to natural hazards,lower,0.0937,2022,%, Institute for Environment and Human Security (EHS) 
Japan,Vulnerability and exposure to natural hazards,lower,0.1703,2022,%, Institute for Environment and Human Security (EHS) 
"Korea, Rep.",Vulnerability and exposure to natural hazards,lower,0.1051,2022,%, Institute for Environment and Human Security (EHS) 
