country,indicator,better_higher_lower,latest_value,year,metric
Australia,Business Confidence,higher,0,2023,points
Austria,Business Confidence,higher,-7.5,2023,points
Belgium,Business Confidence,higher,-7.8,2023,points
Brazil,Business Confidence,higher,48.8,2023,points
Bulgaria,Business Confidence,higher,24.8,2023,points
Canada,Business Confidence,higher,56.8,2023,points
Chile,Business Confidence,higher,41.4,2023,points
Croatia,Business Confidence,higher,7.1,2023,points
Czechia,Business Confidence,higher,98,2023,points
Denmark,Business Confidence,higher,-14,2023,points
Estonia,Business Confidence,higher,84.4,2023,points
Finland,Business Confidence,higher,-13,2023,points
France,Business Confidence,higher,101,2023,points
Germany,Business Confidence,higher,93.6,2023,points
Greece,Business Confidence,higher,109,2023,points
Hungary,Business Confidence,higher,-7.7,2023,points
Indonesia,Business Confidence,higher,11.05,2023,points
Ireland,Business Confidence,higher,21.8,2023,points
Israel,Business Confidence,higher,21.5,2023,points
Italy,Business Confidence,higher,103,2023,points
Japan,Business Confidence,higher,1,2023,points
Lithuania,Business Confidence,higher,-17.3,2023,points
Netherlands,Business Confidence,higher,3,2023,points
New Zealand,Business Confidence,higher,-43.8,2023,points
Norway,Business Confidence,higher,-0.4,2023,points
Peru,Business Confidence,higher,43.9,2023,points
Poland,Business Confidence,higher,-10.8,2023,points
Portugal,Business Confidence,higher,2.3,2023,points
Romania,Business Confidence,higher,-0.4,2023,points
Slovenia,Business Confidence,higher,-9,2023,points
"Korea, Rep.",Business Confidence,higher,70,2023,points
Spain,Business Confidence,higher,-1.3,2023,points
Sweden,Business Confidence,higher,89.3,2023,points
Switzerland,Business Confidence,higher,96.4,2023,points
United Kingdom,Business Confidence,higher,-2,2023,points
United States,Business Confidence,higher,47.1,2023,points
Argentina,Business Confidence,higher,,2023,points
Costa Rica,Business Confidence,higher,,2023,points
Panama,Business Confidence,higher,,2023,points
Tunisia,Business Confidence,higher,,2023,points
Uruguay,Business Confidence,higher,,2023,points
Argentina,Full Year GDP Growth,higher,5.2,2023,percent
Australia,Full Year GDP Growth,higher,2.7,2023,percent
Austria,Full Year GDP Growth,higher,5,2023,percent
Belgium,Full Year GDP Growth,higher,3.1,2023,percent
Brazil,Full Year GDP Growth,higher,2.9,2023,percent
Bulgaria,Full Year GDP Growth,higher,3.4,2023,percent
Canada,Full Year GDP Growth,higher,3.8,2023,percent
Chile,Full Year GDP Growth,higher,2.4,2023,percent
Costa Rica,Full Year GDP Growth,higher,7.8,2023,percent
Croatia,Full Year GDP Growth,higher,13.07,2023,percent
Czechia,Full Year GDP Growth,higher,2.5,2023,percent
Denmark,Full Year GDP Growth,higher,3.4,2023,percent
Estonia,Full Year GDP Growth,higher,-1.3,2023,percent
Finland,Full Year GDP Growth,higher,2,2023,percent
France,Full Year GDP Growth,higher,2.6,2023,percent
Germany,Full Year GDP Growth,higher,1.8,2023,percent
Greece,Full Year GDP Growth,higher,5.9,2023,percent
Hungary,Full Year GDP Growth,higher,4.6,2023,percent
Indonesia,Full Year GDP Growth,higher,5.31,2023,percent
Ireland,Full Year GDP Growth,higher,12.2,2023,percent
Israel,Full Year GDP Growth,higher,6.35,2023,percent
Italy,Full Year GDP Growth,higher,3.7,2023,percent
Japan,Full Year GDP Growth,higher,1,2023,percent
Lithuania,Full Year GDP Growth,higher,4.8,2023,percent
Netherlands,Full Year GDP Growth,higher,4.5,2023,percent
New Zealand,Full Year GDP Growth,higher,5.5,2023,percent
Norway,Full Year GDP Growth,higher,3.3,2023,percent
Panama,Full Year GDP Growth,higher,,2023,percent
Peru,Full Year GDP Growth,higher,2.68,2023,percent
Poland,Full Year GDP Growth,higher,4.9,2023,percent
Portugal,Full Year GDP Growth,higher,6.72,2023,percent
Romania,Full Year GDP Growth,higher,4.8,2023,percent
Slovenia,Full Year GDP Growth,higher,5.4,2023,percent
"Korea, Rep.",Full Year GDP Growth,higher,2.6,2023,percent
Spain,Full Year GDP Growth,higher,5.5,2023,percent
Sweden,Full Year GDP Growth,higher,2.4,2023,percent
Switzerland,Full Year GDP Growth,higher,2.1,2023,percent
Tunisia,Full Year GDP Growth,higher,2.4,2023,percent
United Kingdom,Full Year GDP Growth,higher,4.1,2023,percent
United States,Full Year GDP Growth,higher,2.1,2023,percent
Uruguay,Full Year GDP Growth,higher,4.4,2023,percent
Argentina,GDP per Capita PPP,higher,21527,2023,USD
Australia,GDP per Capita PPP,higher,49774,2023,USD
Austria,GDP per Capita PPP,higher,54121,2023,USD
Belgium,GDP per Capita PPP,higher,51740,2023,USD
Brazil,GDP per Capita PPP,higher,14592,2023,USD
Bulgaria,GDP per Capita PPP,higher,24398,2023,USD
Canada,GDP per Capita PPP,higher,47893,2023,USD
Chile,GDP per Capita PPP,higher,25449,2023,USD
Costa Rica,GDP per Capita PPP,higher,21199,2023,USD
Croatia,GDP per Capita PPP,higher,31636,2023,USD
Czechia,GDP per Capita PPP,higher,40741,2023,USD
Denmark,GDP per Capita PPP,higher,57963,2023,USD
Estonia,GDP per Capita PPP,higher,38718,2023,USD
Finland,GDP per Capita PPP,higher,48753,2023,USD
France,GDP per Capita PPP,higher,44993,2023,USD
Germany,GDP per Capita PPP,higher,53180,2023,USD
Greece,GDP per Capita PPP,higher,29548,2023,USD
Hungary,GDP per Capita PPP,higher,33593,2023,USD
Indonesia,GDP per Capita PPP,higher,11858,2023,USD
Ireland,GDP per Capita PPP,higher,102496,2023,USD
Israel,GDP per Capita PPP,higher,42061,2023,USD
Italy,GDP per Capita PPP,higher,41929,2023,USD
Japan,GDP per Capita PPP,higher,40784,2023,USD
Lithuania,GDP per Capita PPP,higher,39306,2023,USD
Netherlands,GDP per Capita PPP,higher,56617,2023,USD
New Zealand,GDP per Capita PPP,higher,42915,2023,USD
Norway,GDP per Capita PPP,higher,65662,2023,USD
Panama,GDP per Capita PPP,higher,29038,2023,USD
Peru,GDP per Capita PPP,higher,12515,2023,USD
Poland,GDP per Capita PPP,higher,34916,2023,USD
Portugal,GDP per Capita PPP,higher,33675,2023,USD
Romania,GDP per Capita PPP,higher,30777,2023,USD
Slovenia,GDP per Capita PPP,higher,40036,2023,USD
"Korea, Rep.",GDP per Capita PPP,higher,44116,2023,USD
Spain,GDP per Capita PPP,higher,37913,2023,USD
Sweden,GDP per Capita PPP,higher,53613,2023,USD
Switzerland,GDP per Capita PPP,higher,71033,2023,USD
Tunisia,GDP per Capita PPP,higher,10398,2023,USD
United Kingdom,GDP per Capita PPP,higher,44979,2023,USD
United States,GDP per Capita PPP,higher,63670,2023,USD
Uruguay,GDP per Capita PPP,higher,22801,2023,USD
Panama,Hospital Beds,higher,,2023,USD
Argentina,Hospital Beds,higher,,2023,USD
Brazil,Hospital Beds,higher,,2023,USD
Bulgaria,Hospital Beds,higher,,2023,USD
Croatia,Hospital Beds,higher,,2023,USD
Czechia,Hospital Beds,higher,,2023,USD
Peru,Hospital Beds,higher,,2023,USD
Romania,Hospital Beds,higher,,2023,USD
"Korea, Rep.",Hospital Beds,higher,,2023,USD
Tunisia,Hospital Beds,higher,,2023,USD
Uruguay,Hospital Beds,higher,,2023,USD
Australia,Hospital Beds,higher,3.84,2023,per 1000 people
